"Folder","FileCount"
"0000","1047"
"0001","1171"
"0002","1244"
"0003","1038"
"0004","1020"
"0005","1072"
"0006","1353"
"0007","1016"
"0008","1242"
"0009","1147"
"0010","1005"
"0011","1248"
"0012","1078"
"0013","1005"
"0014","1022"
"0015","1035"
"0016","1440"
"0017","1080"
"0018","1041"
"0019","1167"
"0020","1048"
"0021","1035"
"0022","1153"
"0023","1100"
"0024","1069"
"0025","1025"
"0026","1063"
"0027","1024"
"0028","1024"
"0029","1022"
"0030","1044"
"0031","1018"
"0032","1037"
"0033","1098"
"0034","1124"
"0035","1020"
"0036","1023"
"0037","1106"
"0038","1106"
"0039","1142"
"0040","1150"
"0041","1031"
"0042","1017"
"0043","1053"
"0044","1061"
"0045","1148"
"0046","1045"
"0047","1030"
"0048","1256"
"0049","1173"
"0050","1047"
"0051","1045"
"0052","1035"
"0053","1018"
"0054","1238"
"0055","1217"
"0056","1194"
"0057","1014"
"0058","1066"
"0059","1017"
"0060","1119"
"0061","1057"
"0062","996"
"0063","1207"
"0064","1042"
"0065","1296"
"0066","1035"
"0067","1094"
"0068","1026"
"0069","1068"
"0070","1062"
"0071","1100"
"0072","1172"
"0073","1203"
"0074","1201"
"0075","1431"
"0076","1137"
"0077","1251"
"0078","1114"
"0079","1201"
"0080","1047"
"0081","1030"
"0082","1022"
"0083","1022"
"0084","1173"
"0085","1285"
"0086","1009"
"0087","1031"
"0088","1045"
"0089","1019"
"0090","1070"
"0091","1032"
"0092","1024"
"0093","1064"
"0094","1046"
"0095","1039"
"0096","1257"
"0097","1169"
"0098","1030"
"0099","1113"
