timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/26 13:18:53.496, 19 %, 6 %, 7391 MiB, 70
2026/03/26 13:18:53.500, 0 %, 0 %, 2065 MiB, 76
2026/03/26 13:18:58.504, 19 %, 6 %, 7391 MiB, 70
2026/03/26 13:18:58.504, 86 %, 28 %, 2065 MiB, 80
timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/26 13:20:38.365, 19 %, 6 %, 7391 MiB, 70
2026/03/26 13:20:38.368, 0 %, 0 %, 2065 MiB, 58
2026/03/26 13:20:43.372, 19 %, 6 %, 7391 MiB, 70
2026/03/26 13:20:43.372, 85 %, 36 %, 2065 MiB, 66
2026/03/26 13:20:48.373, 19 %, 6 %, 7391 MiB, 70
2026/03/26 13:20:48.373, 77 %, 36 %, 2065 MiB, 68
2026/03/26 13:20:53.374, 23 %, 8 %, 7391 MiB, 70
2026/03/26 13:20:53.374, 86 %, 40 %, 2065 MiB, 71
