timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/27 15:48:47.194, 0 %, 0 %, 225 MiB, 58
2026/03/27 15:48:52.198, 0 %, 0 %, 225 MiB, 59
2026/03/27 15:48:57.199, 0 %, 0 %, 225 MiB, 59
2026/03/27 15:49:02.200, 0 %, 0 %, 225 MiB, 57
2026/03/27 15:49:07.200, 0 %, 0 %, 225 MiB, 57
2026/03/27 15:49:12.201, 0 %, 0 %, 225 MiB, 56
2026/03/27 15:49:17.202, 0 %, 0 %, 225 MiB, 56
2026/03/27 15:49:22.203, 0 %, 0 %, 225 MiB, 56
2026/03/27 15:49:27.204, 0 %, 0 %, 225 MiB, 55
2026/03/27 15:49:32.204, 0 %, 0 %, 225 MiB, 56
2026/03/27 15:49:37.205, 0 %, 0 %, 225 MiB, 55
2026/03/27 15:49:42.206, 0 %, 0 %, 225 MiB, 55
2026/03/27 15:49:47.207, 0 %, 0 %, 225 MiB, 55
2026/03/27 15:49:52.207, 0 %, 0 %, 225 MiB, 54
2026/03/27 15:49:57.208, 0 %, 0 %, 225 MiB, 54
2026/03/27 15:50:02.209, 52 %, 16 %, 2087 MiB, 62
2026/03/27 15:50:07.209, 59 %, 20 %, 2087 MiB, 64
2026/03/27 15:50:12.210, 68 %, 25 %, 2087 MiB, 65
2026/03/27 15:50:17.211, 40 %, 23 %, 2087 MiB, 67
2026/03/27 15:50:22.212, 54 %, 16 %, 2087 MiB, 68
2026/03/27 15:50:27.212, 31 %, 16 %, 2087 MiB, 70
2026/03/27 15:50:32.213, 0 %, 0 %, 2087 MiB, 69
2026/03/27 15:50:37.214, 31 %, 16 %, 2087 MiB, 72
2026/03/27 15:50:42.215, 39 %, 21 %, 2087 MiB, 73
2026/03/27 15:50:47.215, 54 %, 16 %, 2087 MiB, 73
2026/03/27 15:50:52.216, 66 %, 25 %, 2087 MiB, 74
