timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/24 10:39:30.206, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:39:30.209, 11 %, 7 %, 1597 MiB, 82
2026/03/24 10:39:35.211, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:39:35.211, 89 %, 43 %, 1597 MiB, 84
2026/03/24 10:39:40.212, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:39:40.212, 82 %, 24 %, 1597 MiB, 84
2026/03/24 10:39:45.212, 0 %, 0 %, 9273 MiB, 42
2026/03/24 10:39:45.212, 90 %, 26 %, 1597 MiB, 85
2026/03/24 10:39:50.213, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:39:50.213, 81 %, 27 %, 1597 MiB, 84
2026/03/24 10:39:55.213, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:39:55.213, 81 %, 33 %, 1597 MiB, 84
2026/03/24 10:40:00.214, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:00.214, 90 %, 35 %, 1597 MiB, 84
2026/03/24 10:40:05.215, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:05.215, 88 %, 24 %, 1597 MiB, 84
2026/03/24 10:40:10.215, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:10.216, 91 %, 38 %, 1597 MiB, 84
2026/03/24 10:40:15.216, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:15.216, 81 %, 37 %, 1597 MiB, 85
2026/03/24 10:40:20.218, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:20.218, 79 %, 29 %, 1597 MiB, 85
2026/03/24 10:40:25.219, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:25.220, 81 %, 36 %, 1597 MiB, 84
2026/03/24 10:40:30.220, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:30.221, 80 %, 27 %, 1597 MiB, 85
2026/03/24 10:40:35.221, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:35.221, 90 %, 24 %, 1597 MiB, 84
2026/03/24 10:40:40.222, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:40.222, 90 %, 40 %, 1597 MiB, 85
2026/03/24 10:40:45.223, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:45.224, 90 %, 27 %, 1597 MiB, 84
2026/03/24 10:40:50.225, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:50.225, 85 %, 40 %, 1597 MiB, 84
2026/03/24 10:40:55.225, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:40:55.226, 90 %, 24 %, 1597 MiB, 84
2026/03/24 10:41:00.226, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:41:00.226, 90 %, 24 %, 1597 MiB, 84
2026/03/24 10:41:05.227, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:41:05.227, 85 %, 37 %, 1597 MiB, 85
2026/03/24 10:41:10.228, 0 %, 0 %, 9273 MiB, 41
2026/03/24 10:41:10.228, 82 %, 23 %, 1597 MiB, 84
