epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h0,h1,k01,k10,q0,q1,epoch_time_sec
1,6.125987,6.468291,4.354586,4.918253,0.010000,149.9322,5.0891,5.4517,0.0734,0.0266,0.3328,0.2220,384.19
2,6.105080,6.399961,4.345299,4.858266,0.010000,158.1265,5.0475,5.4192,0.0745,0.0256,0.7363,0.5379,373.84
3,6.086652,6.383306,4.319095,4.843081,0.010000,166.4706,5.0570,5.4263,0.0744,0.0245,1.0586,0.7844,377.70
4,6.068868,6.376465,4.307592,4.836525,0.010000,174.8460,5.0785,5.4359,0.0739,0.0234,1.3462,1.0066,377.56
5,6.051604,6.355391,4.292789,4.817522,0.010000,183.1380,5.0822,5.4344,0.0738,0.0224,1.6313,1.2211,374.95
6,6.036365,6.338872,4.278044,4.802423,0.010000,191.2480,5.0884,5.4364,0.0735,0.0214,1.8916,1.4115,376.60
7,6.021599,6.325109,4.265668,4.789718,0.010000,199.0871,5.0963,5.4389,0.0730,0.0205,2.1288,1.5817,376.21
8,6.006559,6.310245,4.252803,4.776071,0.010000,206.5735,5.1011,5.4392,0.0726,0.0197,2.3494,1.7366,374.06
9,5.992955,6.297172,4.240710,4.764021,0.010000,213.6455,5.1058,5.4404,0.0721,0.0189,2.5524,1.8748,372.66
10,5.981155,6.284597,4.230356,4.752654,0.010000,220.2623,5.1095,5.4405,0.0715,0.0181,2.7400,1.9995,376.01
11,5.970131,6.273708,4.221013,4.742790,0.010000,226.4083,5.1131,5.4413,0.0710,0.0173,2.9130,2.1108,378.84
12,5.958080,6.262689,4.211031,4.732897,0.010000,232.0775,5.1152,5.4405,0.0704,0.0166,3.0740,2.2121,376.28
13,5.949552,6.251816,4.202903,4.723204,0.010000,237.2752,5.1160,5.4389,0.0697,0.0160,3.2236,2.3037,370.95
14,5.941082,6.244676,4.195994,4.716715,0.010000,242.0256,5.1190,5.4403,0.0690,0.0154,3.3604,2.3829,374.09
15,5.932593,6.236862,4.189157,4.709727,0.010000,246.3526,5.1205,5.4396,0.0684,0.0148,3.4891,2.4561,376.64
16,5.925093,6.228653,4.182611,4.702483,0.010000,250.2859,5.1203,5.4380,0.0677,0.0142,3.6101,2.5228,380.85
17,5.918864,6.222076,4.176673,4.696673,0.010000,253.8567,5.1206,5.4373,0.0670,0.0137,3.7216,2.5808,376.91
18,5.912424,6.216988,4.171885,4.692159,0.010000,257.0974,5.1217,5.4373,0.0662,0.0132,3.8249,2.6320,373.46
19,5.907106,6.210989,4.166997,4.686934,0.010000,260.0388,5.1211,5.4357,0.0655,0.0127,3.9232,2.6798,373.97
20,5.902051,6.206702,4.163323,4.683175,0.010000,262.7107,5.1214,5.4356,0.0648,0.0122,4.0151,2.7222,374.30
21,5.897436,6.201634,4.159034,4.678797,0.010000,265.1387,5.1204,5.4339,0.0641,0.0118,4.1020,2.7611,372.77
22,5.893538,6.197751,4.155843,4.675432,0.010000,267.3489,5.1200,5.4331,0.0634,0.0114,4.1831,2.7947,374.06
23,5.889858,6.194300,4.152863,4.672458,0.010000,269.3635,5.1196,5.4323,0.0627,0.0110,4.2600,2.8254,377.50
24,5.886962,6.190935,4.150274,4.669575,0.010000,271.2028,5.1187,5.4314,0.0620,0.0106,4.3324,2.8527,375.14
25,5.883421,6.188005,4.147361,4.667075,0.010000,272.8855,5.1180,5.4306,0.0613,0.0103,4.4011,2.8779,373.28
26,5.880352,6.184761,4.144947,4.664329,0.010000,274.4266,5.1166,5.4291,0.0606,0.0099,4.4665,2.9008,374.11
27,5.877408,6.182534,4.142672,4.662442,0.010000,275.8417,5.1159,5.4286,0.0599,0.0096,4.5277,2.9198,376.96
28,5.875484,6.179592,4.141014,4.659976,0.010000,277.1427,5.1142,5.4269,0.0592,0.0093,4.5864,2.9378,371.92
29,5.873246,6.177436,4.138924,4.658174,0.010000,278.3415,5.1131,5.4260,0.0585,0.0090,4.6417,2.9531,374.98
30,5.870787,6.176159,4.137203,4.657115,0.010000,279.4481,5.1125,5.4259,0.0579,0.0088,4.6940,2.9664,377.93
31,5.869169,6.173987,4.136076,4.655325,0.010000,280.4709,5.1110,5.4246,0.0572,0.0085,4.7443,2.9789,374.00
32,5.866988,6.171601,4.134164,4.653368,0.010000,281.4188,5.1091,5.4228,0.0566,0.0082,4.7928,2.9911,374.54
33,5.865856,6.170601,4.133340,4.652565,0.010000,282.2982,5.1083,5.4227,0.0559,0.0080,4.8381,2.9996,374.65
34,5.864216,6.168943,4.131780,4.651220,0.010000,283.1157,5.1068,5.4216,0.0553,0.0078,4.8815,3.0078,376.29
35,5.861671,6.167121,4.129835,4.649745,0.010000,283.8770,5.1051,5.4201,0.0547,0.0075,4.9235,3.0159,376.04
