epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
1,9.997622,8.786050,8.510267,7.454180,0.010000,147.5010,2.1803,2.1794,8.6643,8.7975,63.6088,63.5226,0.4545,0.4546,0.0695,0.0247,-0.6790,-0.6761,365.34
2,8.665076,7.805100,7.387556,6.669947,0.010000,153.5329,2.3645,2.3630,8.9479,9.5165,62.6080,62.2184,0.4154,0.4146,0.0624,0.0220,-1.3111,-1.3074,348.89
3,7.673278,7.141805,6.530646,6.116517,0.010000,159.4563,2.5396,2.5393,8.7455,10.0410,62.1719,61.2276,0.3835,0.3807,0.0570,0.0199,-1.8615,-1.8620,345.41
4,6.969875,6.676261,5.882787,5.684863,0.010000,165.1321,2.7004,2.7012,8.2124,10.2972,62.2780,60.6179,0.3587,0.3531,0.0529,0.0184,-2.3270,-2.3328,344.66
5,6.461499,6.313914,5.377377,5.326274,0.010000,170.6235,2.8467,2.8466,7.5576,10.2817,62.7487,60.3699,0.3400,0.3318,0.0498,0.0173,-2.7200,-2.7288,344.51
6,6.071876,6.008318,4.967409,5.017071,0.010000,176.0844,2.9805,2.9769,6.9124,10.0486,63.4034,60.4116,0.3263,0.3158,0.0474,0.0164,-3.0548,-3.0648,344.89
7,5.757960,5.742886,4.630173,4.752056,0.010000,181.6785,3.1033,3.0949,6.3403,9.6764,64.1202,60.6545,0.3165,0.3042,0.0455,0.0157,-3.3423,-3.3549,346.77
8,5.499676,5.513240,4.353905,4.525794,0.010000,187.5469,3.2156,3.2030,5.8635,9.2370,64.8342,61.0215,0.3103,0.2961,0.0439,0.0151,-3.5904,-3.6098,345.45
9,5.285783,5.318126,4.128832,4.335858,0.010000,193.8122,3.3172,3.3034,5.4839,8.7844,65.5146,61.4537,0.3071,0.2907,0.0425,0.0146,-3.8044,-3.8368,346.95
10,5.108613,5.155664,3.945666,4.181605,0.010000,200.5915,3.4076,3.3971,5.1939,8.3534,66.1482,61.9108,0.3065,0.2875,0.0414,0.0142,-3.9886,-4.0409,347.62
11,4.964365,5.022242,3.799500,4.054167,0.010000,207.9966,3.4865,3.4848,4.9805,7.9632,66.7317,62.3677,0.3083,0.2860,0.0406,0.0138,-4.1468,-4.2252,351.83
12,4.845933,4.913567,3.680459,3.949273,0.010000,216.1494,3.5540,3.5665,4.8322,7.6234,67.2637,62.8085,0.3119,0.2860,0.0398,0.0135,-4.2828,-4.3920,349.14
13,4.748830,4.824778,3.582936,3.860662,0.010000,225.1741,3.6106,3.6420,4.7373,7.3354,67.7458,63.2261,0.3172,0.2873,0.0393,0.0132,-4.3998,-4.5429,358.93
14,4.667970,4.751425,3.502118,3.785284,0.010000,235.2212,3.6572,3.7110,4.6860,7.0969,68.1794,63.6168,0.3237,0.2897,0.0388,0.0129,-4.5010,-4.6792,344.55
15,4.601414,4.689761,3.435353,3.721258,0.010000,246.4484,3.6950,3.7737,4.6709,6.9048,68.5661,63.9781,0.3312,0.2929,0.0385,0.0127,-4.5893,-4.8025,342.84
