epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
1,9.998075,8.785998,8.510747,7.454161,0.010000,147.5003,2.1803,2.1794,8.6647,8.7979,63.6085,63.5223,0.4545,0.4546,0.0695,0.0247,-0.6790,-0.6761,358.75
2,8.665205,7.805109,7.387760,6.669984,0.010000,153.5320,2.3645,2.3630,8.9486,9.5167,62.6073,62.2183,0.4154,0.4146,0.0624,0.0220,-1.3111,-1.3073,345.57
3,7.672555,7.141942,6.529858,6.116704,0.010000,159.4547,2.5397,2.5393,8.7470,10.0419,62.1698,61.2266,0.3835,0.3806,0.0570,0.0199,-1.8614,-1.8619,342.19
4,6.970176,6.676581,5.883236,5.685200,0.010000,165.1279,2.7003,2.7012,8.2133,10.2980,62.2765,60.6168,0.3587,0.3531,0.0529,0.0184,-2.3268,-2.3325,343.23
5,6.461520,6.314169,5.377595,5.326540,0.010000,170.6190,2.8466,2.8466,7.5578,10.2821,62.7480,60.3693,0.3400,0.3317,0.0498,0.0173,-2.7198,-2.7285,343.60
6,6.071868,6.008569,4.967682,5.017327,0.010000,176.0801,2.9805,2.9769,6.9126,10.0492,63.4026,60.4106,0.3262,0.3158,0.0474,0.0164,-3.0546,-3.0646,343.15
7,5.758277,5.742987,4.630310,4.752169,0.010000,181.6728,3.1032,3.0948,6.3400,9.6765,64.1205,60.6541,0.3165,0.3042,0.0455,0.0157,-3.3422,-3.3546,343.08
8,5.500144,5.513372,4.354317,4.525929,0.010000,187.5404,3.2155,3.2029,5.8635,9.2371,64.8342,61.0209,0.3103,0.2961,0.0439,0.0151,-3.5902,-3.6095,343.77
9,5.285228,5.318363,4.128570,4.336089,0.010000,193.8085,3.3172,3.3033,5.4847,8.7845,65.5135,61.4529,0.3071,0.2907,0.0425,0.0146,-3.8043,-3.8366,344.50
10,5.109388,5.155931,3.946117,4.181873,0.010000,200.5867,3.4076,3.3971,5.1948,8.3536,66.1467,61.9098,0.3065,0.2874,0.0414,0.0142,-3.9886,-4.0408,343.38
11,4.964617,5.022384,3.799743,4.054307,0.010000,207.9911,3.4864,3.4847,4.9810,7.9632,66.7312,62.3672,0.3083,0.2860,0.0406,0.0138,-4.1468,-4.2250,344.07
12,4.845584,4.913663,3.680231,3.949369,0.010000,216.1447,3.5539,3.5663,4.8327,7.6232,67.2632,62.8084,0.3119,0.2860,0.0398,0.0135,-4.2827,-4.3918,344.56
13,4.748366,4.824791,3.582824,3.860673,0.010000,225.1689,3.6105,3.6418,4.7374,7.3349,67.7457,63.2264,0.3172,0.2873,0.0393,0.0132,-4.3997,-4.5427,346.98
14,4.668896,4.751433,3.502875,3.785288,0.010000,235.2115,3.6571,3.7109,4.6859,7.0965,68.1794,63.6169,0.3237,0.2896,0.0388,0.0129,-4.5009,-4.6791,341.84
15,4.601651,4.689754,3.435611,3.721243,0.010000,246.4408,3.6949,3.7736,4.6707,6.9043,68.5662,63.9782,0.3312,0.2929,0.0385,0.0127,-4.5892,-4.8024,350.28
16,4.543849,4.636415,3.378910,3.665156,0.010000,259.0307,3.7250,3.8296,4.6840,6.7528,68.9095,64.3111,0.3395,0.2969,0.0382,0.0125,-4.6671,-4.9138,340.50
17,4.493860,4.588959,3.329689,3.614126,0.010000,273.1775,3.7487,3.8793,4.7210,6.6376,69.2113,64.6154,0.3482,0.3016,0.0380,0.0123,-4.7365,-5.0148,343.57
18,4.448331,4.545305,3.284867,3.566129,0.010000,289.1057,3.7671,3.9227,4.7769,6.5539,69.4749,64.8921,0.3573,0.3068,0.0379,0.0122,-4.7993,-5.1064,342.24
19,4.405843,4.503701,3.243425,3.520077,0.010000,307.0289,3.7810,3.9603,4.8478,6.4971,69.7040,65.1431,0.3667,0.3124,0.0378,0.0120,-4.8568,-5.1899,342.29
20,4.364740,4.462855,3.203678,3.474914,0.010000,327.1491,3.7911,3.9924,4.9309,6.4635,69.9015,65.3698,0.3762,0.3183,0.0377,0.0119,-4.9102,-5.2662,345.42
21,4.324157,4.421763,3.164376,3.429923,0.010000,349.6483,3.7984,4.0194,5.0228,6.4491,70.0714,65.5742,0.3858,0.3244,0.0376,0.0118,-4.9604,-5.3364,344.34
22,4.283696,4.379672,3.125598,3.384505,0.010000,374.6060,3.8031,4.0420,5.1217,6.4512,70.2168,65.7581,0.3953,0.3307,0.0376,0.0117,-5.0081,-5.4013,340.92
23,4.241703,4.336235,3.086089,3.338306,0.010000,402.0255,3.8059,4.0606,5.2255,6.4675,70.3407,65.9223,0.4049,0.3372,0.0376,0.0116,-5.0539,-5.4617,346.74
24,4.198049,4.291306,3.045678,3.291214,0.010000,431.7113,3.8069,4.0757,5.3329,6.4952,70.4459,66.0696,0.4144,0.3437,0.0375,0.0115,-5.0981,-5.5184,339.08
25,4.153323,4.245054,3.004450,3.243481,0.010000,463.2969,3.8066,4.0876,5.4423,6.5321,70.5352,66.2019,0.4238,0.3504,0.0375,0.0115,-5.1413,-5.5717,342.27
26,4.108795,4.198113,2.964006,3.195839,0.010000,496.2010,3.8050,4.0968,5.5528,6.5769,70.6106,66.3201,0.4331,0.3571,0.0375,0.0114,-5.1834,-5.6223,345.66
27,4.063592,4.151296,2.923384,3.149049,0.010000,529.7528,3.8026,4.1039,5.6638,6.6283,70.6738,66.4252,0.4424,0.3638,0.0375,0.0113,-5.2248,-5.6706,343.67
28,4.018177,4.105417,2.883363,3.103758,0.010000,563.1851,3.7995,4.1092,5.7748,6.6851,70.7265,66.5188,0.4516,0.3705,0.0374,0.0113,-5.2657,-5.7170,341.02
29,3.974140,4.061330,2.845233,3.060659,0.010000,595.7260,3.7958,4.1128,5.8852,6.7462,70.7701,66.6021,0.4606,0.3772,0.0374,0.0112,-5.3061,-5.7618,341.28
30,3.932759,4.019784,2.809381,3.020393,0.010000,626.7739,3.7919,4.1154,5.9948,6.8108,70.8056,66.6757,0.4696,0.3838,0.0373,0.0111,-5.3462,-5.8051,344.35
31,3.893833,3.981144,2.776089,2.983204,0.010000,655.8884,3.7878,4.1171,6.1030,6.8783,70.8345,66.7407,0.4785,0.3905,0.0373,0.0111,-5.3858,-5.8473,343.41
32,3.858764,3.945695,2.745904,2.949272,0.010000,682.8010,3.7836,4.1180,6.2102,6.9487,70.8569,66.7968,0.4873,0.3971,0.0372,0.0110,-5.4252,-5.8884,348.83
33,3.826413,3.913462,2.718378,2.918526,0.010000,707.4227,3.7794,4.1185,6.3161,7.0211,70.8737,66.8453,0.4960,0.4036,0.0371,0.0110,-5.4644,-5.9287,341.00
34,3.797786,3.884307,2.693889,2.890757,0.010000,729.7698,3.7754,4.1186,6.4203,7.0955,70.8862,66.8861,0.5046,0.4101,0.0370,0.0109,-5.5034,-5.9683,340.84
