timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/04/03 19:16:25.674, 0 %, 0 %, 194 MiB, 70, 104.09 W
2026/04/03 19:16:30.680, 0 %, 0 %, 194 MiB, 71, 84.89 W
2026/04/03 19:16:35.680, 0 %, 0 %, 194 MiB, 71, 81.73 W
2026/04/03 19:16:40.681, 13 %, 2 %, 5216 MiB, 72, 88.47 W
2026/04/03 19:16:45.681, 100 %, 100 %, 12030 MiB, 77, 197.41 W
2026/04/03 19:16:50.682, 100 %, 100 %, 12030 MiB, 80, 199.42 W
2026/04/03 19:16:55.683, 100 %, 100 %, 12030 MiB, 82, 199.62 W
2026/04/03 19:17:00.683, 100 %, 100 %, 12030 MiB, 83, 199.34 W
2026/04/03 19:17:05.684, 17 %, 2 %, 12030 MiB, 82, 134.95 W
2026/04/03 19:17:10.684, 100 %, 100 %, 12984 MiB, 84, 198.32 W
2026/04/03 19:17:15.685, 100 %, 100 %, 12984 MiB, 85, 192.12 W
2026/04/03 19:17:20.685, 100 %, 100 %, 12984 MiB, 86, 188.22 W
2026/04/03 19:17:25.686, 100 %, 100 %, 12984 MiB, 86, 180.95 W
2026/04/03 19:17:30.688, 17 %, 2 %, 12984 MiB, 84, 130.04 W
2026/04/03 19:17:35.688, 100 %, 100 %, 12984 MiB, 86, 186.91 W
2026/04/03 19:17:40.689, 100 %, 100 %, 12984 MiB, 86, 180.89 W
2026/04/03 19:17:45.690, 100 %, 100 %, 12984 MiB, 86, 174.00 W
2026/04/03 19:17:50.690, 25 %, 28 %, 12984 MiB, 86, 165.76 W
2026/04/03 19:17:55.691, 11 %, 1 %, 12984 MiB, 84, 109.91 W
2026/04/03 19:18:00.691, 100 %, 100 %, 12984 MiB, 86, 185.89 W
2026/04/03 19:18:05.695, 100 %, 100 %, 12984 MiB, 86, 179.95 W
2026/04/03 19:18:10.696, 100 %, 100 %, 12984 MiB, 86, 174.94 W
2026/04/03 19:18:15.696, 100 %, 100 %, 12984 MiB, 86, 171.02 W
2026/04/03 19:18:20.696, 11 %, 1 %, 12984 MiB, 83, 101.30 W
2026/04/03 19:18:25.872, 100 %, 100 %, 12984 MiB, 86, 196.91 W
2026/04/03 19:18:30.872, 100 %, 100 %, 12984 MiB, 86, 186.56 W
2026/04/03 19:18:35.873, 100 %, 100 %, 12984 MiB, 86, 180.09 W
2026/04/03 19:18:41.154, 100 %, 100 %, 12984 MiB, 86, 174.78 W
2026/04/03 19:18:46.327, 10 %, 1 %, 12984 MiB, 84, 119.54 W
2026/04/03 19:18:51.328, 100 %, 100 %, 12984 MiB, 86, 195.97 W
2026/04/03 19:18:56.329, 100 %, 100 %, 12984 MiB, 86, 185.77 W
2026/04/03 19:19:01.329, 100 %, 100 %, 12984 MiB, 86, 179.16 W
2026/04/03 19:19:06.330, 100 %, 100 %, 12984 MiB, 86, 174.73 W
2026/04/03 19:19:11.330, 17 %, 2 %, 12984 MiB, 84, 105.12 W
2026/04/03 19:19:16.331, 100 %, 100 %, 12984 MiB, 86, 196.37 W
2026/04/03 19:19:21.331, 100 %, 100 %, 12984 MiB, 86, 185.41 W
2026/04/03 19:19:26.332, 100 %, 100 %, 12984 MiB, 86, 180.39 W
2026/04/03 19:19:31.333, 100 %, 100 %, 12984 MiB, 86, 175.12 W
2026/04/03 19:19:36.333, 15 %, 2 %, 12984 MiB, 85, 122.35 W
2026/04/03 19:19:41.334, 100 %, 100 %, 12984 MiB, 86, 189.28 W
2026/04/03 19:19:46.384, 100 %, 100 %, 12984 MiB, 86, 182.23 W
2026/04/03 19:19:51.573, 100 %, 100 %, 12984 MiB, 86, 177.13 W
2026/04/03 19:19:56.774, 100 %, 100 %, 12984 MiB, 86, 174.09 W
2026/04/03 19:20:01.826, 11 %, 1 %, 12984 MiB, 85, 124.10 W
2026/04/03 19:20:06.827, 100 %, 100 %, 12984 MiB, 86, 195.99 W
2026/04/03 19:20:11.827, 100 %, 100 %, 12984 MiB, 86, 185.79 W
2026/04/03 19:20:16.828, 100 %, 100 %, 12984 MiB, 86, 181.02 W
2026/04/03 19:20:21.828, 100 %, 100 %, 12984 MiB, 86, 175.52 W
2026/04/03 19:20:26.829, 11 %, 1 %, 12984 MiB, 84, 126.05 W
2026/04/03 19:20:31.830, 100 %, 100 %, 12984 MiB, 86, 196.41 W
2026/04/03 19:20:37.214, 100 %, 100 %, 12984 MiB, 86, 186.64 W
2026/04/03 19:20:42.453, 100 %, 100 %, 12984 MiB, 86, 180.90 W
2026/04/03 19:20:47.608, 100 %, 100 %, 12984 MiB, 86, 175.87 W
2026/04/03 19:20:52.740, 14 %, 2 %, 12984 MiB, 84, 117.52 W
2026/04/03 19:20:57.741, 100 %, 100 %, 12984 MiB, 86, 193.76 W
2026/04/03 19:21:02.741, 100 %, 100 %, 12984 MiB, 86, 185.26 W
2026/04/03 19:21:07.742, 100 %, 100 %, 12984 MiB, 86, 181.11 W
2026/04/03 19:21:12.742, 100 %, 100 %, 12984 MiB, 86, 176.32 W
