timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/03/23 19:29:10.526, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:10.537, 0 %, 0 %, 223 MiB, 57
2026/03/23 19:29:15.540, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:15.540, 85 %, 23 %, 1595 MiB, 62
2026/03/23 19:29:20.541, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:20.541, 83 %, 23 %, 1595 MiB, 64
2026/03/23 19:29:25.542, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:25.542, 78 %, 25 %, 1595 MiB, 68
2026/03/23 19:29:30.543, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:30.543, 75 %, 34 %, 1595 MiB, 69
2026/03/23 19:29:35.544, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:35.544, 90 %, 24 %, 1595 MiB, 70
2026/03/23 19:29:40.544, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:40.545, 86 %, 23 %, 1595 MiB, 72
2026/03/23 19:29:45.545, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:45.545, 89 %, 43 %, 1595 MiB, 74
2026/03/23 19:29:50.546, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:50.546, 80 %, 25 %, 1595 MiB, 76
2026/03/23 19:29:55.547, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:29:55.547, 80 %, 23 %, 1595 MiB, 76
2026/03/23 19:30:00.548, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:30:00.548, 82 %, 41 %, 1595 MiB, 77
2026/03/23 19:30:05.548, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:30:05.548, 86 %, 42 %, 1595 MiB, 78
2026/03/23 19:30:10.549, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:30:10.549, 89 %, 43 %, 1595 MiB, 79
2026/03/23 19:30:15.550, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:30:15.550, 89 %, 24 %, 1595 MiB, 79
2026/03/23 19:30:20.550, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:30:20.551, 86 %, 43 %, 1595 MiB, 81
2026/03/23 19:30:25.551, 0 %, 0 %, 7432 MiB, 39
2026/03/23 19:30:25.551, 90 %, 37 %, 1595 MiB, 80
2026/03/23 19:30:30.552, 87 %, 43 %, 9025 MiB, 48
2026/03/23 19:30:30.552, 86 %, 41 %, 1595 MiB, 81
2026/03/23 19:30:35.553, 65 %, 24 %, 9025 MiB, 52
2026/03/23 19:30:35.553, 85 %, 27 %, 1595 MiB, 82
2026/03/23 19:30:40.554, 84 %, 38 %, 9025 MiB, 54
2026/03/23 19:30:40.554, 84 %, 28 %, 1595 MiB, 82
2026/03/23 19:30:45.554, 87 %, 27 %, 9025 MiB, 56
2026/03/23 19:30:45.555, 92 %, 40 %, 1595 MiB, 82
2026/03/23 19:30:50.555, 89 %, 40 %, 9025 MiB, 58
2026/03/23 19:30:50.555, 78 %, 24 %, 1595 MiB, 83
2026/03/23 19:30:55.556, 69 %, 29 %, 9025 MiB, 59
2026/03/23 19:30:55.556, 92 %, 27 %, 1595 MiB, 82
2026/03/23 19:31:00.557, 76 %, 23 %, 9025 MiB, 61
2026/03/23 19:31:00.557, 70 %, 23 %, 1595 MiB, 82
2026/03/23 19:31:05.558, 90 %, 27 %, 9025 MiB, 63
2026/03/23 19:31:05.558, 78 %, 23 %, 1595 MiB, 83
2026/03/23 19:31:10.558, 89 %, 28 %, 9025 MiB, 65
2026/03/23 19:31:10.559, 77 %, 32 %, 1595 MiB, 84
2026/03/23 19:31:15.559, 90 %, 34 %, 9025 MiB, 66
2026/03/23 19:31:15.560, 78 %, 23 %, 1595 MiB, 83
2026/03/23 19:31:20.560, 78 %, 30 %, 9025 MiB, 68
2026/03/23 19:31:20.560, 92 %, 38 %, 1595 MiB, 84
2026/03/23 19:31:25.561, 72 %, 26 %, 9025 MiB, 70
2026/03/23 19:31:25.561, 76 %, 23 %, 1595 MiB, 84
2026/03/23 19:31:30.561, 88 %, 43 %, 9025 MiB, 71
2026/03/23 19:31:30.562, 85 %, 34 %, 1595 MiB, 84
2026/03/23 19:31:35.562, 82 %, 23 %, 9025 MiB, 72
2026/03/23 19:31:35.562, 80 %, 25 %, 1595 MiB, 84
2026/03/23 19:31:40.563, 87 %, 43 %, 9025 MiB, 73
2026/03/23 19:31:40.563, 92 %, 39 %, 1595 MiB, 84
2026/03/23 19:31:45.563, 72 %, 24 %, 9025 MiB, 73
2026/03/23 19:31:45.564, 92 %, 34 %, 1595 MiB, 84
2026/03/23 19:31:50.564, 76 %, 24 %, 9025 MiB, 74
2026/03/23 19:31:50.564, 86 %, 31 %, 1595 MiB, 84
2026/03/23 19:31:55.566, 88 %, 24 %, 9025 MiB, 75
2026/03/23 19:31:55.566, 93 %, 29 %, 1595 MiB, 84
2026/03/23 19:32:00.566, 77 %, 24 %, 9025 MiB, 75
2026/03/23 19:32:00.567, 90 %, 42 %, 1595 MiB, 84
2026/03/23 19:32:05.567, 79 %, 36 %, 9025 MiB, 76
2026/03/23 19:32:05.567, 84 %, 35 %, 1595 MiB, 85
2026/03/23 19:32:10.568, 72 %, 30 %, 9025 MiB, 76
2026/03/23 19:32:10.569, 83 %, 25 %, 1595 MiB, 84
2026/03/23 19:32:15.570, 76 %, 33 %, 9025 MiB, 77
2026/03/23 19:32:15.570, 79 %, 23 %, 1595 MiB, 84
2026/03/23 19:32:20.570, 68 %, 26 %, 9025 MiB, 77
2026/03/23 19:32:20.571, 74 %, 28 %, 1595 MiB, 86
2026/03/23 19:32:25.572, 90 %, 27 %, 9025 MiB, 79
2026/03/23 19:32:25.572, 92 %, 34 %, 1595 MiB, 85
2026/03/23 19:32:30.573, 68 %, 27 %, 9025 MiB, 78
2026/03/23 19:32:30.573, 84 %, 28 %, 1595 MiB, 85
2026/03/23 19:32:35.574, 86 %, 42 %, 9025 MiB, 78
2026/03/23 19:32:35.574, 79 %, 33 %, 1595 MiB, 85
2026/03/23 19:32:40.575, 89 %, 28 %, 9025 MiB, 79
2026/03/23 19:32:40.575, 82 %, 39 %, 1595 MiB, 85
2026/03/23 19:32:45.576, 88 %, 24 %, 9025 MiB, 79
2026/03/23 19:32:45.576, 92 %, 24 %, 1595 MiB, 85
2026/03/23 19:32:50.576, 89 %, 40 %, 9025 MiB, 79
2026/03/23 19:32:50.576, 68 %, 23 %, 1595 MiB, 85
2026/03/23 19:32:55.577, 81 %, 23 %, 9025 MiB, 79
2026/03/23 19:32:55.577, 81 %, 33 %, 1595 MiB, 86
2026/03/23 19:33:00.578, 90 %, 27 %, 9025 MiB, 80
2026/03/23 19:33:00.578, 84 %, 28 %, 1595 MiB, 87
2026/03/23 19:33:05.579, 82 %, 40 %, 9025 MiB, 79
2026/03/23 19:33:05.579, 88 %, 23 %, 1595 MiB, 86
2026/03/23 19:33:10.579, 80 %, 28 %, 9025 MiB, 79
2026/03/23 19:33:10.580, 92 %, 37 %, 1595 MiB, 86
2026/03/23 19:33:15.580, 90 %, 25 %, 9025 MiB, 81
2026/03/23 19:33:15.580, 83 %, 23 %, 1595 MiB, 86
2026/03/23 19:33:20.581, 79 %, 31 %, 9025 MiB, 80
2026/03/23 19:33:20.581, 74 %, 28 %, 1595 MiB, 86
2026/03/23 19:33:25.582, 85 %, 23 %, 9025 MiB, 80
2026/03/23 19:33:25.582, 91 %, 43 %, 1595 MiB, 86
2026/03/23 19:33:30.582, 89 %, 24 %, 9025 MiB, 80
2026/03/23 19:33:30.583, 86 %, 23 %, 1595 MiB, 86
2026/03/23 19:33:35.583, 78 %, 37 %, 9025 MiB, 81
2026/03/23 19:33:35.583, 82 %, 24 %, 1595 MiB, 86
2026/03/23 19:33:40.584, 81 %, 23 %, 9025 MiB, 81
2026/03/23 19:33:40.584, 74 %, 30 %, 1595 MiB, 86
2026/03/23 19:33:45.585, 90 %, 39 %, 9025 MiB, 81
2026/03/23 19:33:45.585, 93 %, 42 %, 1595 MiB, 86
2026/03/23 19:33:50.586, 84 %, 40 %, 9025 MiB, 81
2026/03/23 19:33:50.586, 85 %, 39 %, 1595 MiB, 86
2026/03/23 19:33:55.587, 80 %, 34 %, 9025 MiB, 81
2026/03/23 19:33:55.587, 92 %, 35 %, 1595 MiB, 87
2026/03/23 19:34:00.587, 82 %, 23 %, 9025 MiB, 81
2026/03/23 19:34:00.588, 81 %, 30 %, 1595 MiB, 86
2026/03/23 19:34:05.588, 90 %, 37 %, 9025 MiB, 81
2026/03/23 19:34:05.588, 87 %, 23 %, 1595 MiB, 86
