timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/04/04 19:14:01.904, 0 %, 0 %, 19 MiB, 70, 85.28 W
2026/04/04 19:14:06.910, 0 %, 0 %, 1706 MiB, 73, 101.20 W
2026/04/04 19:14:11.911, 3 %, 3 %, 6128 MiB, 73, 107.05 W
2026/04/04 19:14:16.981, 4 %, 0 %, 7218 MiB, 75, 115.50 W
2026/04/04 19:14:21.982, 11 %, 0 %, 8948 MiB, 73, 86.97 W
2026/04/04 19:14:26.982, 80 %, 78 %, 10682 MiB, 80, 198.10 W
2026/04/04 19:14:31.983, 80 %, 78 %, 10682 MiB, 82, 198.20 W
2026/04/04 19:14:36.984, 14 %, 0 %, 10684 MiB, 78, 96.04 W
2026/04/04 19:14:41.984, 79 %, 78 %, 10684 MiB, 83, 198.35 W
2026/04/04 19:14:46.985, 76 %, 75 %, 10684 MiB, 84, 192.52 W
2026/04/04 19:14:51.985, 11 %, 0 %, 10684 MiB, 83, 128.57 W
2026/04/04 19:14:57.130, 35 %, 27 %, 10684 MiB, 84, 162.34 W
2026/04/04 19:15:02.130, 36 %, 27 %, 10684 MiB, 84, 155.84 W
2026/04/04 19:15:07.131, 36 %, 27 %, 10684 MiB, 83, 143.65 W
2026/04/04 19:15:12.132, 12 %, 0 %, 10684 MiB, 84, 132.29 W
2026/04/04 19:15:17.132, 79 %, 77 %, 10684 MiB, 85, 174.29 W
2026/04/04 19:15:22.133, 80 %, 78 %, 10684 MiB, 85, 168.30 W
2026/04/04 19:15:27.133, 12 %, 0 %, 10684 MiB, 84, 126.27 W
2026/04/04 19:15:32.134, 79 %, 76 %, 10684 MiB, 86, 177.18 W
2026/04/04 19:15:37.134, 80 %, 78 %, 10684 MiB, 86, 169.45 W
2026/04/04 19:15:42.135, 14 %, 0 %, 10684 MiB, 84, 107.81 W
2026/04/04 19:15:47.136, 79 %, 76 %, 10684 MiB, 86, 177.61 W
2026/04/04 19:15:52.142, 79 %, 77 %, 10684 MiB, 86, 169.50 W
2026/04/04 19:15:57.143, 14 %, 0 %, 10684 MiB, 84, 115.11 W
2026/04/04 19:16:02.143, 79 %, 77 %, 10684 MiB, 86, 179.51 W
2026/04/04 19:16:07.144, 77 %, 75 %, 10684 MiB, 86, 168.87 W
2026/04/04 19:16:12.350, 0 %, 0 %, 10684 MiB, 85, 131.01 W
2026/04/04 19:16:17.351, 0 %, 0 %, 10684 MiB, 86, 144.50 W
2026/04/04 19:16:22.352, 80 %, 77 %, 10684 MiB, 86, 170.85 W
2026/04/04 19:16:27.427, 79 %, 77 %, 10684 MiB, 86, 163.86 W
2026/04/04 19:16:32.427, 13 %, 0 %, 10684 MiB, 84, 111.26 W
2026/04/04 19:16:37.428, 80 %, 78 %, 10684 MiB, 86, 172.93 W
2026/04/04 19:16:42.429, 80 %, 78 %, 10684 MiB, 86, 167.18 W
2026/04/04 19:16:47.639, 13 %, 0 %, 10684 MiB, 84, 102.47 W
2026/04/04 19:16:52.640, 79 %, 77 %, 10684 MiB, 86, 177.29 W
2026/04/04 19:16:57.640, 79 %, 77 %, 10684 MiB, 86, 169.65 W
2026/04/04 19:17:02.641, 14 %, 0 %, 10684 MiB, 83, 102.28 W
2026/04/04 19:17:07.642, 80 %, 78 %, 10684 MiB, 86, 178.45 W
2026/04/04 19:17:12.642, 80 %, 78 %, 10684 MiB, 86, 173.26 W
2026/04/04 19:17:17.643, 13 %, 0 %, 10684 MiB, 84, 122.13 W
2026/04/04 19:17:22.643, 79 %, 77 %, 10684 MiB, 86, 190.30 W
2026/04/04 19:17:27.644, 78 %, 75 %, 10684 MiB, 86, 172.61 W
2026/04/04 19:17:32.645, 7 %, 7 %, 10684 MiB, 85, 161.34 W
2026/04/04 19:17:37.645, 13 %, 0 %, 10684 MiB, 83, 111.86 W
2026/04/04 19:17:42.646, 80 %, 78 %, 10684 MiB, 86, 174.45 W
2026/04/04 19:17:47.646, 80 %, 77 %, 10684 MiB, 86, 169.08 W
2026/04/04 19:17:52.647, 12 %, 0 %, 10684 MiB, 84, 124.99 W
2026/04/04 19:17:57.647, 79 %, 76 %, 10684 MiB, 85, 177.41 W
2026/04/04 19:18:02.819, 78 %, 76 %, 10684 MiB, 86, 169.97 W
2026/04/04 19:18:07.820, 13 %, 0 %, 10684 MiB, 84, 119.10 W
2026/04/04 19:18:12.821, 79 %, 77 %, 10684 MiB, 85, 177.56 W
2026/04/04 19:18:17.821, 77 %, 75 %, 10684 MiB, 85, 171.09 W
2026/04/04 19:18:23.003, 12 %, 0 %, 10684 MiB, 84, 122.19 W
2026/04/04 19:18:28.004, 79 %, 77 %, 10684 MiB, 85, 172.40 W
2026/04/04 19:18:33.005, 80 %, 77 %, 10684 MiB, 85, 174.12 W
2026/04/04 19:18:38.005, 77 %, 75 %, 10684 MiB, 85, 164.23 W
2026/04/04 19:18:43.006, 23 %, 16 %, 10684 MiB, 83, 101.72 W
2026/04/04 19:18:48.007, 80 %, 77 %, 10684 MiB, 85, 174.38 W
2026/04/04 19:18:53.008, 72 %, 70 %, 10684 MiB, 85, 167.13 W
2026/04/04 19:18:58.008, 12 %, 0 %, 10684 MiB, 84, 128.21 W
2026/04/04 19:19:03.009, 78 %, 75 %, 10684 MiB, 85, 176.31 W
2026/04/04 19:19:08.009, 77 %, 75 %, 10684 MiB, 85, 170.29 W
2026/04/04 19:19:13.010, 12 %, 0 %, 10684 MiB, 84, 129.68 W
2026/04/04 19:19:18.011, 79 %, 76 %, 10684 MiB, 85, 181.49 W
2026/04/04 19:19:23.012, 80 %, 77 %, 10684 MiB, 85, 173.40 W
2026/04/04 19:19:28.012, 12 %, 0 %, 10684 MiB, 84, 127.07 W
2026/04/04 19:19:33.013, 78 %, 75 %, 10684 MiB, 85, 139.84 W
2026/04/04 19:19:38.039, 79 %, 77 %, 10684 MiB, 85, 174.09 W
2026/04/04 19:19:43.039, 79 %, 77 %, 10684 MiB, 85, 166.52 W
2026/04/04 19:19:48.040, 12 %, 0 %, 10684 MiB, 84, 128.54 W
2026/04/04 19:19:53.040, 78 %, 76 %, 10684 MiB, 85, 174.39 W
2026/04/04 19:19:58.041, 79 %, 76 %, 10684 MiB, 85, 169.56 W
2026/04/04 19:20:03.041, 5 %, 0 %, 10684 MiB, 84, 129.21 W
2026/04/04 19:20:08.042, 78 %, 76 %, 10684 MiB, 85, 177.76 W
2026/04/04 19:20:13.043, 78 %, 76 %, 10684 MiB, 85, 170.88 W
2026/04/04 19:20:18.043, 12 %, 0 %, 10684 MiB, 84, 126.82 W
2026/04/04 19:20:23.044, 78 %, 75 %, 10684 MiB, 85, 178.39 W
2026/04/04 19:20:28.154, 78 %, 75 %, 10684 MiB, 85, 172.38 W
2026/04/04 19:20:33.154, 78 %, 76 %, 10684 MiB, 84, 146.82 W
2026/04/04 19:20:38.155, 18 %, 16 %, 10684 MiB, 85, 145.26 W
2026/04/04 19:20:43.155, 78 %, 76 %, 10684 MiB, 85, 173.18 W
2026/04/04 19:20:48.156, 76 %, 74 %, 10684 MiB, 85, 164.46 W
2026/04/04 19:20:53.157, 14 %, 0 %, 10684 MiB, 82, 100.11 W
2026/04/04 19:20:58.157, 76 %, 73 %, 10684 MiB, 85, 175.60 W
2026/04/04 19:21:03.423, 77 %, 75 %, 10684 MiB, 85, 169.85 W
