filename,k01_mean,k10_mean,k01_dt_mean,k10_dt_mean,k01_power_mean,k10_power_mean,k01_event_count,k10_event_count,is_valid_k01,is_valid_k10
10000305171013-r1457839-n386398_cleaned.parquet,,,,,,,0,0,False,False
10048850990766-r9102715-n851693_cleaned.parquet,,,,,,,0,0,False,False
1004122909274-r8607415-n911952_cleaned.parquet,,,,,,,0,0,False,False
10085315647125-r5573787-n976057_cleaned.parquet,,,,,,,0,0,False,False
10070252594050-r6272977-n851693_cleaned.parquet,,,,,,,0,0,False,False
10111943268829-r2100214-n386398_cleaned.parquet,,,,,,,0,0,False,False
10036489881777-r4858666-n685852_cleaned.parquet,,,,,,,0,0,False,False
10036489881777-r9192091-n386398_cleaned.parquet,,,,,,,0,0,False,False
10177292733558-r1682297-n386398_cleaned.parquet,,,,,,,0,0,False,False
10180197235268-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
1017744163465-r1682297-n976057_cleaned.parquet,,,,,,,0,0,False,False
10246129714425-r3226521-n685852_cleaned.parquet,,,,,,,0,0,False,False
10252539248526-r3041626-n43543_cleaned.parquet,,,,,,,0,0,False,False
10201892587718-r7217787-n830961_cleaned.parquet,,,,,,,0,0,False,False
10081447489111-r6272977-n976057_cleaned.parquet,,,,,,,0,0,False,False
1026747789387-r1682297-n685852_cleaned.parquet,,,,,,,0,0,False,False
10295850328162-r4774426-n172998_cleaned.parquet,,,,,,,0,0,False,False
10268915074523-r8062914-n136082_cleaned.parquet,,,,,,,0,0,False,False
10200987814978-r8642123-n851693_cleaned.parquet,,,,,,,0,0,False,False
10325724749052-r4179716-n851693_cleaned.parquet,,,,,,,0,0,False,False
1025423152861-r2652301-n911952_cleaned.parquet,,,,,,,0,0,False,False
10384773181249-r5189505-n830961_cleaned.parquet,,,,,,,0,0,False,False
10396338564492-r8642123-n911952_cleaned.parquet,,,,,,,0,0,False,False
1048149646958-r1457839-n386398_cleaned.parquet,,,,,,,0,0,False,False
10491150481468-r7217787-n851693_cleaned.parquet,,,,,,,0,0,False,False
10121788751509-r7343737-n386398_cleaned.parquet,,,,,,,0,0,False,False
10494503047275-r3879907-n136082_cleaned.parquet,,,,,,,0,0,False,False
10263860652332-r9535192-n386398_cleaned.parquet,,,,,,,0,0,False,False
10539773706640-r629115-n851693_cleaned.parquet,,,,,,,0,0,False,False
10620096995667-r9189566-n386398_cleaned.parquet,,,,,,,0,0,False,False
10593510186555-r1682297-n685852_cleaned.parquet,,,,,,,0,0,False,False
10724483963197-r4229531-n976057_cleaned.parquet,,,,,,,0,0,False,False
10741236782750-r3226521-n851693_cleaned.parquet,,,,,,,0,0,False,False
10560837247072-r2652301-n386398_cleaned.parquet,,,,,,,0,0,False,False
10419715313403-r9535192-n386398_cleaned.parquet,,,,,,,0,0,False,False
10755871673012-r9040233-n386398_cleaned.parquet,,,,,,,0,0,False,False
