filename,min_temp_0,min_temp_1,idle_events_found
10000305171013-r1457839-n386398_cleaned.parquet,31.0,30.0,1
10081447489111-r6272977-n976057_cleaned.parquet,28.0,24.0,3
10268915074523-r8062914-n136082_cleaned.parquet,27.0,26.0,1
1025423152861-r2652301-n911952_cleaned.parquet,32.0,31.0,1
1048149646958-r1457839-n386398_cleaned.parquet,28.0,28.0,1
10724483963197-r4229531-n976057_cleaned.parquet,34.0,34.0,1
10419715313403-r9535192-n386398_cleaned.parquet,27.0,26.0,1
10560837247072-r2652301-n386398_cleaned.parquet,29.0,27.0,1
10786030644627-r7217787-n43543_cleaned.parquet,36.0,32.0,1
10803464192248-r2582019-n911952_cleaned.parquet,32.0,30.0,1
10922211844014-r3226521-n830961_cleaned.parquet,34.0,30.0,1
10302597894556-r3117156-n136082_cleaned.parquet,26.0,24.0,1
10948149750898-r4179716-n386398_cleaned.parquet,31.0,29.0,1
10302597894556-r4822976-n136082_cleaned.parquet,24.0,23.0,1
11069449748593-r7343737-n830961_cleaned.parquet,34.0,34.0,1
11114112143306-r3741709-n851693_cleaned.parquet,29.0,28.0,2
11084200066727-r3041626-n386398_cleaned.parquet,26.0,26.0,1
11240628453420-r8642123-n386398_cleaned.parquet,32.0,30.0,1
11177781015014-r1485405-n386398_cleaned.parquet,36.0,33.0,1
11439786116841-r6760045-n685852_cleaned.parquet,28.77777777777778,26.0,1
11496331837106-r8937440-n685852_cleaned.parquet,29.0,27.0,1
11396540828652-r4229531-n851693_cleaned.parquet,29.0,27.333333333333332,1
11578318915948-r4229531-n911952_cleaned.parquet,29.77777777777778,27.0,5
11761896145418-r1682297-n976057_cleaned.parquet,29.0,27.0,1
11704718088843-r8937440-n830961_cleaned.parquet,28.0,27.0,1
11781807103828-r9040233-n851693_cleaned.parquet,32.0,29.0,1
11535695379405-r3041626-n976057_cleaned.parquet,27.0,26.0,11
11851464720006-r9189566-n386398_cleaned.parquet,36.0,40.0,1
10855321952286-r8642123-n976057_cleaned.parquet,30.0,29.0,15
11861708111913-r4229531-n386398_cleaned.parquet,29.0,30.0,1
1192551276943-r6272977-n976057_cleaned.parquet,35.888888888888886,32.0,1
11902519226081-r1485405-n976057_cleaned.parquet,26.0,25.0,8
12021759575215-r1485405-n685852_cleaned.parquet,34.0,32.0,1
12021759575215-r7343737-n685852_cleaned.parquet,32.0,31.88888888888889,1
12021759575215-r9102715-n685852_cleaned.parquet,34.0,33.0,1
12021759575215-r9192091-n830961_cleaned.parquet,33.0,31.0,1
12043353552570-r1682297-n911952_cleaned.parquet,34.1,34.0,1
11637946721970-r629115-n386398_cleaned.parquet,32.888888888888886,31.0,1
11998887952133-r9535192-n386398_cleaned.parquet,29.0,28.0,4
12211810947034-r2825489-n208530_cleaned.parquet,30.0,30.9,1
12211810947034-r2998125-n208530_cleaned.parquet,29.88888888888889,28.0,1
12440954812778-r3041626-n911952_cleaned.parquet,33.0,33.888888888888886,1
12404622872677-r7217787-n976057_cleaned.parquet,32.0,32.0,4
12582082170900-r9192091-n976057_cleaned.parquet,28.22222222222222,26.22222222222222,1
12400257813928-r3226521-n911952_cleaned.parquet,28.0,28.0,4
12731443252710-r3741709-n976057_cleaned.parquet,30.0,28.0,7
12423798727580-r5573787-n911952_cleaned.parquet,30.9,29.22222222222222,1
12060126487006-r9720335-n976057_cleaned.parquet,26.0,27.0,1
1278063882854-r8579942-n208530_cleaned.parquet,29.88888888888889,29.0,3
12937147380893-r3879907-n139058_cleaned.parquet,31.0,29.0,1
12937147380893-r9189566-n911952_cleaned.parquet,29.444444444444443,27.0,1
13023227998226-r9175025-n386398_cleaned.parquet,28.0,27.0,1
13025374489198-r8937440-n976057_cleaned.parquet,32.0,32.0,1
13005085915184-r629115-n830961_cleaned.parquet,31.0,32.0,2
13252242774089-r9352821-n386398_cleaned.parquet,30.0,27.0,1
12677774705714-r7217787-n685852_cleaned.parquet,28.0,26.0,1
13288727937236-r3741709-n851693_cleaned.parquet,30.0,28.0,1
13269625421951-r9040233-n911952_cleaned.parquet,27.0,27.0,1
13472182591515-r8333645-n386398_cleaned.parquet,29.0,28.0,1
12994488485579-r9102715-n386398_cleaned.parquet,36.0,34.0,1
13017978521049-r8642123-n976057_cleaned.parquet,28.0,27.0,1
13675049587864-r8062914-n208530_cleaned.parquet,32.0,32.0,1
13675049587864-r8939293-n208530_cleaned.parquet,30.0,31.0,1
135953542729-r2582019-n911952_cleaned.parquet,31.0,28.0,12
13814121390023-r5573787-n976057_cleaned.parquet,26.88888888888889,25.0,1
13938382141662-r3041626-n851693_cleaned.parquet,27.0,25.22222222222222,1
14161959300679-r8333645-n386398_cleaned.parquet,29.0,28.0,1
14255289985586-r8062914-n139058_cleaned.parquet,29.0,25.0,1
1382613438743-r1457839-n911952_cleaned.parquet,29.0,29.0,1
13570915759394-r2652301-n43543_cleaned.parquet,32.0,31.0,1
1441035021516-r9720335-n976057_cleaned.parquet,34.0,33.0,1
14202369235503-r7217787-n851693_cleaned.parquet,30.666666666666668,30.0,11
14442148887626-r3405251-n208530_cleaned.parquet,30.0,26.444444444444443,1
14513764185295-r3041626-n976057_cleaned.parquet,33.0,31.0,2
14690685313548-r6272977-n911952_cleaned.parquet,37.0,35.0,1
14995882144628-r9535192-n976057_cleaned.parquet,27.0,26.0,1
15127267306367-r5189505-n386398_cleaned.parquet,34.0,34.44444444444444,1
14714072076268-r3041626-n851693_cleaned.parquet,30.0,27.555555555555557,1
15132497070115-r4327055-n136082_cleaned.parquet,32.0,30.0,1
14081814442047-r1457839-n911952_cleaned.parquet,34.0,32.333333333333336,1
1527824086477-r8607415-n386398_cleaned.parquet,30.0,30.0,1
14817542589399-r8015356-n911952_cleaned.parquet,33.0,30.0,2
15235021738603-r8333645-n43543_cleaned.parquet,29.0,28.0,1
15602298985116-r6272977-n976057_cleaned.parquet,35.0,31.88888888888889,1
15802933439327-r9102715-n386398_cleaned.parquet,33.0,31.0,1
15549523087057-r3741709-n851693_cleaned.parquet,29.0,28.0,1
15538734191407-r4229531-n976057_cleaned.parquet,27.0,27.0,10
15852098770944-r5130449-n139058_cleaned.parquet,25.0,25.0,1
15852098770944-r8939293-n139058_cleaned.parquet,26.0,22.0,1
15928675978677-r8333645-n386398_cleaned.parquet,33.0,32.0,1
16008623061291-r5189505-n685852_cleaned.parquet,32.0,32.0,1
16008623061291-r7217787-n43543_cleaned.parquet,32.0,32.666666666666664,1
16008623061291-r3405251-n208530_cleaned.parquet,32.77777777777778,32.0,1
16008623061291-r8579942-n208530_cleaned.parquet,34.0,33.0,1
16010225997782-r5573787-n386398_cleaned.parquet,31.0,32.0,1
14979864577421-r4822976-n208530_cleaned.parquet,30.0,29.0,6
16219979646713-r9189566-n685852_cleaned.parquet,25.0,24.0,1
1614166817188-r8015356-n851693_cleaned.parquet,26.0,26.666666666666668,5
16181639986462-r9175025-n911952_cleaned.parquet,29.0,28.0,5
16181639986462-r9535192-n911952_cleaned.parquet,29.0,26.0,7
16402908602577-r3226521-n685852_cleaned.parquet,34.0,32.0,1
16360020936756-r3041626-n911952_cleaned.parquet,27.0,28.0,1
1633773993592-r6760045-n685852_cleaned.parquet,31.0,28.0,5
16657293623062-r3226521-n976057_cleaned.parquet,29.0,30.88888888888889,1
16657293623062-r3741709-n830961_cleaned.parquet,33.0,33.0,1
16657293623062-r4179716-n976057_cleaned.parquet,31.0,30.0,1
16657293623062-r4858666-n830961_cleaned.parquet,32.0,29.0,1
16657293623062-r5573787-n911952_cleaned.parquet,30.0,28.0,1
16657293623062-r629115-n830961_cleaned.parquet,32.0,31.0,1
16657293623062-r8937440-n976057_cleaned.parquet,31.0,31.0,1
16657293623062-r9352821-n830961_cleaned.parquet,33.0,34.0,1
16697902973017-r9189566-n851693_cleaned.parquet,30.0,28.0,2
16794586841064-r5573787-n386398_cleaned.parquet,28.0,27.0,4
16861080915360-r8642123-n911952_cleaned.parquet,31.88888888888889,31.1,1
16915882441255-r8937440-n386398_cleaned.parquet,31.0,30.0,1
17155335282856-r2582019-n976057_cleaned.parquet,33.0,31.0,1
17116967233662-r9040233-n976057_cleaned.parquet,30.0,29.88888888888889,4
17370863843517-r1485405-n685852_cleaned.parquet,33.0,31.0,1
17273782971547-r4327055-n139058_cleaned.parquet,31.0,30.0,3
17370863843517-r6760045-n830961_cleaned.parquet,31.0,31.0,1
17370863843517-r7343737-n685852_cleaned.parquet,31.0,31.0,1
17370863843517-r9102715-n685852_cleaned.parquet,33.0,32.0,1
17370863843517-r9192091-n830961_cleaned.parquet,32.0,30.0,1
1739182910029-r9352821-n43543_cleaned.parquet,31.0,29.11111111111111,1
17308984942668-r9535192-n976057_cleaned.parquet,29.0,28.0,1
17354200744134-r3041626-n976057_cleaned.parquet,28.0,26.0,1
1680751970347-r7217787-n685852_cleaned.parquet,27.0,25.88888888888889,7
17411580538236-r9535192-n386398_cleaned.parquet,25.0,26.0,6
17417168593801-r5130449-n139058_cleaned.parquet,31.0,31.0,1
17394891787368-r9192091-n685852_cleaned.parquet,33.0,31.0,2
17841600602643-r3405251-n136082_cleaned.parquet,28.0,28.0,3
17848293220948-r1457839-n386398_cleaned.parquet,28.0,28.0,1
17609239898028-r1457839-n386398_cleaned.parquet,29.0,32.0,6
17838361369931-r3879907-n139058_cleaned.parquet,29.0,27.0,3
17476886469352-r629115-n830961_cleaned.parquet,34.0,32.0,1
17911624787706-r3226521-n685852_cleaned.parquet,26.0,24.77777777777778,2
18060796015489-r5189505-n685852_cleaned.parquet,27.0,26.0,1
18098489992264-r8333645-n386398_cleaned.parquet,30.0,30.0,1
18044001764166-r9189566-n43543_cleaned.parquet,29.0,30.0,2
18284685005764-r2825489-n208530_cleaned.parquet,25.0,26.0,1
18284685005764-r2998125-n208530_cleaned.parquet,25.0,23.0,1
18316803738610-r2100214-n386398_cleaned.parquet,27.0,25.0,1
18489044336289-r9175025-n976057_cleaned.parquet,30.0,30.0,1
18468194125778-r9192091-n43543_cleaned.parquet,34.0,32.0,1
1791535818804-r8333645-n851693_cleaned.parquet,30.0,28.0,1
18740606543242-r7217787-n976057_cleaned.parquet,34.0,34.0,5
18800826981827-r9535192-n976057_cleaned.parquet,33.0,31.0,1
18834735796376-r6272977-n976057_cleaned.parquet,36.0,32.0,1
18474981746651-r3475376-n136082_cleaned.parquet,27.0,25.0,2
17994250792206-r8642123-n386398_cleaned.parquet,30.0,28.0,1
18909424589462-r9720335-n911952_cleaned.parquet,37.0,34.0,1
18916014054665-r4179716-n976057_cleaned.parquet,33.0,33.0,1
18981700893189-r8062914-n139058_cleaned.parquet,32.0,31.0,2
18943694066457-r9720335-n911952_cleaned.parquet,35.0,31.7,1
19125284572422-r9352821-n976057_cleaned.parquet,34.0,31.0,1
19082186108898-r8937440-n911952_cleaned.parquet,31.0,31.0,1
19186745552647-r3226521-n976057_cleaned.parquet,27.0,28.0,1
19236199231945-r3226521-n911952_cleaned.parquet,30.0,29.0,1
13496835413213-r9720335-n976057_cleaned.parquet,29.0,27.88888888888889,1
18944909218769-r9535192-n976057_cleaned.parquet,29.0,28.0,1
1948489658288-r7217787-n43543_cleaned.parquet,27.333333333333332,28.0,5
19461917655169-r8333645-n685852_cleaned.parquet,28.0,27.88888888888889,1
19879714245077-r5189505-n386398_cleaned.parquet,32.888888888888886,33.0,1
