filename,k01_mean,k10_mean,k01_dt_mean,k10_dt_mean,k01_power_mean,k10_power_mean,k01_event_count,k10_event_count,is_valid_k01,is_valid_k10
1017744163465-r1682297-n976057_cleaned.parquet,,,,,,,0,0,False,False
10085315647125-r5573787-n976057_cleaned.parquet,,,,,,,0,0,False,False
10180197235268-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
10070252594050-r6272977-n851693_cleaned.parquet,,,,,,,0,0,False,False
10111943268829-r2100214-n386398_cleaned.parquet,,,,,,,0,0,False,False
10246129714425-r3226521-n685852_cleaned.parquet,,,,,,,0,0,False,False
10252539248526-r3041626-n43543_cleaned.parquet,,,,,,,0,0,False,False
10268915074523-r8062914-n136082_cleaned.parquet,,,,,,,0,0,False,False
10325724749052-r4179716-n851693_cleaned.parquet,,,,,,,0,0,False,False
10200987814978-r8642123-n851693_cleaned.parquet,,,,,,,0,0,False,False
1048149646958-r1457839-n386398_cleaned.parquet,,,,,,,0,0,False,False
10384773181249-r5189505-n830961_cleaned.parquet,,,,,,,0,0,False,False
10755871673012-r9040233-n386398_cleaned.parquet,,,,,,,0,0,False,False
1025423152861-r2652301-n911952_cleaned.parquet,,,,,,,0,0,False,False
10770785896887-r1457839-n386398_cleaned.parquet,,,,,,,0,0,False,False
10803464192248-r2582019-n911952_cleaned.parquet,,,,,,,0,0,False,False
10831915054934-r3226521-n851693_cleaned.parquet,,,,,,,0,0,False,False
10121788751509-r7343737-n386398_cleaned.parquet,,,,,,,0,0,False,False
10560837247072-r2652301-n386398_cleaned.parquet,,,,,,,0,0,False,False
10628452916198-r9189566-n43543_cleaned.parquet,,,,,,,0,0,False,False
10834160540357-r1485405-n851693_cleaned.parquet,,,,,,,0,0,False,False
11050171073176-r4179716-n386398_cleaned.parquet,,,,,,,0,0,False,False
10948149750898-r4179716-n386398_cleaned.parquet,,,,,,,0,0,False,False
11069449748593-r7343737-n830961_cleaned.parquet,,,,,,,0,0,False,False
11114112143306-r3741709-n851693_cleaned.parquet,,,,,,,0,0,False,False
11084200066727-r3041626-n386398_cleaned.parquet,,,,,,,0,0,False,False
11285830239709-r9720335-n386398_cleaned.parquet,,,,,,,0,0,False,False
11239146173036-r7343737-n851693_cleaned.parquet,,,,,,,0,0,False,False
11216326270844-r7343737-n976057_cleaned.parquet,,,,,,,0,0,False,False
11426280152295-r9555635-n139058_cleaned.parquet,,,,,,,0,0,False,False
11496331837106-r8937440-n685852_cleaned.parquet,0.015063321708821362,,3.0,,199.15925968992244,,1,0,True,False
10271139129803-r8937440-n976057_cleaned.parquet,,,,,,,0,0,False,False
11611555786655-r8579942-n139058_cleaned.parquet,,,,,,,0,0,False,False
1173416277102-r8937440-n830961_cleaned.parquet,,,,,,,0,0,False,False
10302597894556-r3117156-n136082_cleaned.parquet,,,,,,,0,0,False,False
11578318915948-r4229531-n911952_cleaned.parquet,,,,,,,0,0,False,False
11775704218326-r2652301-n386398_cleaned.parquet,,,,,,,0,0,False,False
10302597894556-r4822976-n136082_cleaned.parquet,,,,,,,0,0,False,False
11804676406038-r5189505-n43543_cleaned.parquet,,,,,,,0,0,False,False
11819882934100-r1682297-n386398_cleaned.parquet,,,,,,,0,0,False,False
11804676406038-r9189566-n830961_cleaned.parquet,,,,,,,0,0,False,False
11258330183406-r1485405-n386398_cleaned.parquet,0.007080444651686023,,1.3125,,185.1136650548796,,16,0,True,False
11535695379405-r3041626-n976057_cleaned.parquet,0.005642306098419933,,1.0,,177.23276187817558,,2,0,True,False
11860214159495-r3741709-n851693_cleaned.parquet,,,,,,,0,0,False,False
11860214159495-r1485405-n851693_cleaned.parquet,,,,,,,0,0,False,False
11860214159495-r4858666-n851693_cleaned.parquet,,,,,,,0,0,False,False
11860214159495-r629115-n851693_cleaned.parquet,,,,,,,0,0,False,False
10855321952286-r8642123-n976057_cleaned.parquet,,,,,,,0,0,False,False
11860214159495-r7217787-n851693_cleaned.parquet,,,,,,,0,0,False,False
11860214159495-r8333645-n851693_cleaned.parquet,,,,,,,0,0,False,False
11861708111913-r4229531-n386398_cleaned.parquet,,,,,,,0,0,False,False
11868833916672-r9555635-n136082_cleaned.parquet,,,,,,,0,0,False,False
11891790075916-r8607415-n386398_cleaned.parquet,,,,,,,0,0,False,False
11860214159495-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
1192551276943-r6272977-n976057_cleaned.parquet,,,,,,,0,0,False,False
11983189675432-r8607415-n386398_cleaned.parquet,,,,,,,0,0,False,False
11967044711084-r8937440-n911952_cleaned.parquet,,,,,,,0,0,False,False
11860214159495-r9535192-n911952_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r1485405-n685852_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r3041626-n830961_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r7343737-n685852_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r3226521-n830961_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r9192091-n830961_cleaned.parquet,,,,,,,0,0,False,False
12021759575215-r9102715-n685852_cleaned.parquet,,,,,,,0,0,False,False
12080819838745-r9192091-n976057_cleaned.parquet,,,,,,,0,0,False,False
12094003728982-r8607415-n911952_cleaned.parquet,,,,,,,0,0,False,False
12060419167616-r9192091-n830961_cleaned.parquet,,,,,,,0,0,False,False
12061204333884-r8062914-n139058_cleaned.parquet,,,,,,,0,0,False,False
12140025358381-r9189566-n43543_cleaned.parquet,,,,,,,0,0,False,False
12142951176334-r629115-n851693_cleaned.parquet,,,,,,,0,0,False,False
12142951176334-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
11745676376387-r6760045-n685852_cleaned.parquet,,,,,,,0,0,False,False
122138511098-r3041626-n976057_cleaned.parquet,,,,,,,0,0,False,False
12211810947034-r2825489-n208530_cleaned.parquet,,,,,,,0,0,False,False
12211810947034-r2998125-n208530_cleaned.parquet,,,,,,,0,0,False,False
12232485384706-r9352821-n43543_cleaned.parquet,,,,,,,0,0,False,False
12440954812778-r3041626-n911952_cleaned.parquet,,,,,,,0,0,False,False
11998887952133-r9535192-n386398_cleaned.parquet,,,,,,,0,0,False,False
12404622872677-r7217787-n976057_cleaned.parquet,,,,,,,0,0,False,False
12685028509101-r9192091-n851693_cleaned.parquet,,,,,,,0,0,False,False
12657143383484-r9352821-n43543_cleaned.parquet,,,,,,,0,0,False,False
12705440725832-r8642123-n911952_cleaned.parquet,,,,,,,0,0,False,False
12600180302996-r4327055-n139058_cleaned.parquet,,,,,,,0,0,False,False
12710302326646-r9535192-n911952_cleaned.parquet,,,,,,,0,0,False,False
12169119140450-r8939293-n136082_cleaned.parquet,,,,,,,0,0,False,False
12731443252710-r3741709-n976057_cleaned.parquet,,,,,,,0,0,False,False
12831845655325-r9352821-n851693_cleaned.parquet,,,,,,,0,0,False,False
12816541580451-r8333645-n386398_cleaned.parquet,,,,,,,0,0,False,False
