timestamp,gpu_index,power_draw_W
1620938159.278,0,45.8
1620938159.281,1,28.35
1620938159.384,0,45.72
1620938159.387,1,28.46
1620938159.49,0,45.77
1620938159.493,1,28.39
1620938159.596,0,45.91
1620938159.602,1,28.27
1620938159.705,0,45.83
1620938159.708,1,28.36
1620938159.811,0,45.94
1620938159.814,1,28.28
1620938159.917,0,45.78
1620938159.923,1,28.3
1620938160.026,0,45.72
1620938160.028,1,28.27
1620938160.131,0,45.82
1620938160.134,1,28.37
1620938160.237,0,45.82
1620938160.243,1,28.27
1620938160.346,0,45.85
1620938160.349,1,28.29
1620938160.452,0,45.87
1620938160.455,1,28.29
1620938160.558,0,45.93
1620938160.564,1,28.27
1620938160.667,0,45.82
1620938160.67,1,28.37
1620938160.772,0,45.93
1620938160.775,1,28.37
1620938160.878,0,45.78
1620938160.884,1,28.3
1620938160.987,0,45.83
1620938160.99,1,28.37
1620938161.093,0,45.82
1620938161.096,1,28.37
1620938161.199,0,45.83
1620938161.205,1,28.18
1620938161.308,0,45.78
1620938161.311,1,28.19
1620938161.414,0,45.87
1620938161.417,1,28.39
1620938161.52,0,45.82
1620938161.526,1,28.36
1620938161.629,0,45.93
1620938161.632,1,28.37
1620938161.734,0,45.84
1620938161.737,1,28.27
1620938161.84,0,45.87
1620938161.846,1,28.3
1620938161.949,0,45.82
1620938161.952,1,28.37
1620938162.056,0,45.82
1620938162.058,1,28.36
1620938162.161,0,45.92
1620938162.167,1,28.37
1620938162.271,0,45.92
1620938162.273,1,28.37
1620938162.376,0,45.87
1620938162.379,1,28.19
1620938162.482,0,45.92
1620938162.488,1,28.27
1620938162.591,0,45.81
1620938162.594,1,28.36
1620938162.697,0,46.01
1620938162.7,1,28.46
1620938162.803,0,45.75
1620938162.808,1,28.38
1620938162.911,0,45.77
1620938162.914,1,28.39
1620938163.017,0,46.01
1620938163.021,1,28.18
1620938163.124,0,45.92
1620938163.129,1,28.26
1620938163.232,0,45.92
1620938163.235,1,28.27
1620938163.338,0,45.78
1620938163.341,1,28.29
1620938163.444,0,45.85
1620938163.45,1,28.39
1620938163.553,0,45.83
1620938163.556,1,28.36
1620938163.658,0,45.92
1620938163.661,1,28.27
1620938163.764,0,45.82
1620938163.771,1,28.37
1620938163.874,0,45.78
1620938163.877,1,28.3
1620938163.98,0,45.82
1620938163.983,1,28.37
1620938164.086,0,45.82
1620938164.091,1,28.27
1620938164.194,0,45.83
1620938164.197,1,28.37
1620938164.3,0,45.75
1620938164.303,1,28.08
1620938164.406,0,45.75
1620938164.412,1,28.29
1620938164.516,0,45.8
1620938164.519,1,28.35
1620938164.622,0,45.72
1620938164.627,1,28.36
1620938164.73,0,45.9
1620938164.736,1,28.35
1620938164.839,0,45.79
1620938164.841,1,28.35
1620938164.944,0,45.92
1620938164.947,1,28.17
