timestamp,gpu_index,power_draw_W
1625123892.406,0,27.28
1625123892.41,1,44.49
1625123892.513,0,27.27
1625123892.516,1,44.49
1625123892.619,0,27.36
1625123892.629,1,44.56
1625123892.732,0,27.27
1625123892.735,1,44.59
1625123892.838,0,27.27
1625123892.849,1,44.49
1625123892.953,0,27.28
1625123892.956,1,44.59
1625123893.058,0,27.28
1625123893.07,1,44.49
1625123893.173,0,27.27
1625123893.176,1,44.49
1625123893.279,0,27.29
1625123893.282,1,44.53
1625123893.386,0,27.27
1625123893.392,1,44.49
1625123893.495,0,27.27
1625123893.498,1,44.49
1625123893.601,0,27.37
1625123893.612,1,44.49
1625123893.715,0,27.27
1625123893.718,1,44.68
1625123893.821,0,27.29
1625123893.832,1,44.61
1625123893.935,0,27.28
1625123893.938,1,44.59
1625123894.041,0,27.38
1625123894.044,1,44.59
1625123894.148,0,27.36
1625123894.153,1,44.59
1625123894.256,0,27.27
1625123894.259,1,44.49
1625123894.362,0,27.27
1625123894.373,1,44.59
1625123894.477,0,27.29
1625123894.48,1,44.53
1625123894.583,0,27.29
1625123894.595,1,44.51
1625123894.698,0,27.38
1625123894.7,1,44.5
1625123894.803,0,27.29
1625123894.815,1,44.53
1625123894.918,0,27.29
1625123894.921,1,44.49
1625123895.024,0,27.29
1625123895.035,1,44.59
1625123895.138,0,27.18
1625123895.141,1,44.59
1625123895.244,0,27.29
1625123895.247,1,44.53
1625123895.35,0,27.39
1625123895.356,1,44.53
1625123895.46,0,27.29
1625123895.463,1,44.53
1625123895.565,0,27.29
1625123895.577,1,44.59
1625123895.68,0,27.27
1625123895.683,1,44.58
1625123895.786,0,27.27
1625123895.799,1,44.49
1625123895.902,0,27.27
1625123895.905,1,44.49
1625123896.008,0,27.36
1625123896.018,1,44.58
1625123896.122,0,27.37
1625123896.125,1,44.59
1625123896.228,0,27.27
1625123896.239,1,44.49
1625123896.346,0,27.27
1625123896.349,1,44.59
1625123896.452,0,27.28
1625123896.46,1,44.59
1625123896.563,0,27.38
1625123896.565,1,44.59
1625123896.669,0,27.29
1625123896.68,1,44.52
1625123896.783,0,27.38
1625123896.786,1,44.49
1625123896.891,0,27.26
1625123896.901,1,44.49
1625123897.005,0,27.37
1625123897.008,1,44.49
1625123897.113,0,27.28
1625123897.122,1,44.5
1625123897.225,0,27.17
1625123897.228,1,44.58
1625123897.331,0,27.27
1625123897.342,1,44.49
1625123897.446,0,27.31
1625123897.449,1,44.53
1625123897.564,0,27.27
1625123897.567,1,44.59
1625123897.67,0,27.29
1625123897.673,1,44.51
1625123897.776,0,27.31
1625123897.784,1,44.63
1625123897.888,0,27.37
1625123897.89,1,44.59
1625123897.993,0,27.38
1625123898.006,1,44.62
1625123898.109,0,27.19
1625123898.112,1,44.62
1625123898.215,0,27.38
1625123898.226,1,44.62
1625123898.329,0,27.19
1625123898.332,1,44.53
1625123898.435,0,27.29
1625123898.438,1,44.62
1625123898.541,0,27.29
1625123898.547,1,44.52
1625123898.651,0,27.29
1625123898.654,1,44.53
1625123898.757,0,27.29
1625123898.768,1,44.53
1625123898.877,0,27.29
1625123898.88,1,44.53
1625123898.982,0,27.28
1625123898.989,1,44.59
1625123899.092,0,27.29
1625123899.095,1,44.53
1625123899.199,0,27.29
1625123899.211,1,44.53
1625123899.314,0,27.39
1625123899.316,1,44.51
1625123899.421,0,27.28
1625123899.431,1,44.59
1625123899.534,0,27.28
1625123899.537,1,44.49
1625123899.64,0,27.27
1625123899.642,1,44.49
1625123899.745,0,27.38
1625123899.752,1,44.49
1625123899.856,0,27.27
1625123899.859,1,44.49
1625123899.961,0,27.36
1625123899.964,1,44.57
1625123900.068,0,27.36
1625123900.074,1,44.49
1625123900.177,0,27.37
1625123900.18,1,44.49
1625123900.283,0,27.37
1625123900.294,1,44.59
1625123900.397,0,27.26
1625123900.401,1,44.57
1625123900.504,0,27.29
1625123900.506,1,44.53
1625123900.609,0,27.36
1625123900.617,1,44.56
1625123900.72,0,27.36
1625123900.723,1,44.58
1625123900.826,0,27.26
1625123900.837,1,44.47
1625123900.94,0,27.27
1625123900.943,1,44.49
1625123901.046,0,27.29
1625123901.049,1,44.53
1625123901.151,0,27.29
1625123901.158,1,44.53
1625123901.262,0,27.31
1625123901.265,1,44.53
1625123901.367,0,27.29
1625123901.37,1,44.53
1625123901.473,0,27.29
1625123901.48,1,44.53
1625123901.585,0,27.3
1625123901.587,1,44.53
1625123901.69,0,27.29
1625123901.701,1,44.51
1625123901.804,0,27.29
1625123901.807,1,44.53
1625123901.915,0,27.29
1625123901.922,1,44.53
1625123902.025,0,27.19
1625123902.028,1,44.53
1625123902.131,0,27.29
1625123902.143,1,44.53
1625123902.246,0,27.29
1625123902.249,1,44.53
1625123902.351,0,27.29
1625123902.354,1,44.52
1625123902.457,0,27.39
1625123902.464,1,44.53
1625123902.569,0,27.31
1625123902.571,1,44.53
1625123902.674,0,27.39
1625123902.684,1,44.53
1625123902.787,0,27.31
1625123902.79,1,44.53
1625123902.896,0,27.38
1625123902.905,1,44.61
1625123903.008,0,27.29
1625123903.011,1,44.53
1625123903.114,0,27.31
1625123903.117,1,44.53
1625123903.223,0,27.29
1625123903.227,1,44.72
1625123903.33,0,27.29
1625123903.333,1,44.53
1625123903.436,0,27.19
1625123903.447,1,44.53
1625123903.554,0,27.4
1625123903.557,1,44.53
1625123903.66,0,27.29
1625123903.668,1,44.53
1625123903.771,0,27.29
1625123903.774,1,44.53
1625123903.878,0,27.39
1625123903.889,1,44.53
1625123903.993,0,27.39
1625123903.995,1,44.62
1625123904.098,0,27.38
1625123904.11,1,44.53
1625123904.213,0,27.29
1625123904.216,1,44.53
1625123904.319,0,27.21
1625123904.322,1,44.64
1625123904.426,0,27.19
1625123904.433,1,44.61
1625123904.536,0,27.29
1625123904.539,1,44.53
1625123904.642,0,27.3
1625123904.653,1,44.53
1625123904.757,0,27.19
1625123904.76,1,44.53
1625123904.864,0,27.39
1625123904.874,1,44.53
1625123904.978,0,27.31
1625123904.98,1,44.53
1625123905.083,0,27.29
1625123905.086,1,44.53
1625123905.189,0,27.38
1625123905.196,1,44.49
1625123905.299,0,27.38
1625123905.302,1,44.52
1625123905.405,0,27.29
1625123905.408,1,44.59
1625123905.511,0,27.38
1625123905.518,1,44.53
1625123905.621,0,27.39
1625123905.624,1,44.53
1625123905.729,0,27.37
1625123905.739,1,44.49
1625123905.843,0,27.37
1625123905.845,1,44.59
1625123905.95,0,27.28
1625123905.959,1,44.49
1625123906.063,0,27.29
1625123906.065,1,44.53
1625123906.17,0,27.26
1625123906.181,1,44.56
1625123906.284,0,27.29
1625123906.287,1,44.5
1625123906.391,0,27.29
1625123906.401,1,44.53
1625123906.505,0,27.19
1625123906.507,1,44.52
1625123906.611,0,27.29
1625123906.622,1,44.62
1625123906.725,0,27.31
1625123906.728,1,44.53
1625123906.832,0,27.29
1625123906.844,1,44.52
1625123906.947,0,27.29
1625123906.95,1,44.49
1625123907.053,0,27.29
1625123907.065,1,44.53
1625123907.17,0,27.31
1625123907.173,1,44.53
1625123907.276,0,27.29
1625123907.285,1,44.53
1625123907.388,0,27.29
1625123907.391,1,44.62
1625123907.495,0,27.39
1625123907.497,1,44.53
1625123907.6,0,27.29
1625123907.607,1,44.62
1625123907.71,0,27.27
1625123907.713,1,44.57
1625123907.816,0,27.37
1625123907.819,1,44.59
1625123907.922,0,27.29
1625123907.928,1,44.62
1625123908.032,0,27.29
1625123908.035,1,44.62
1625123908.137,0,27.28
1625123908.14,1,44.49
1625123908.243,0,27.39
1625123908.252,1,44.53
1625123908.356,0,27.29
1625123908.359,1,44.62
1625123908.462,0,27.27
1625123908.472,1,44.49
1625123908.577,0,27.29
1625123908.58,1,44.62
1625123908.682,0,27.29
1625123908.693,1,44.53
1625123908.797,0,27.38
1625123908.8,1,44.49
1625123908.903,0,27.29
1625123908.914,1,44.49
1625123909.018,0,27.29
1625123909.021,1,44.61
1625123909.124,0,27.37
1625123909.136,1,44.49
1625123909.239,0,27.29
1625123909.242,1,44.53
1625123909.345,0,27.29
1625123909.357,1,44.49
1625123909.46,0,27.29
1625123909.463,1,44.53
1625123909.566,0,27.37
1625123909.577,1,44.59
1625123909.681,0,27.28
1625123909.684,1,44.51
1625123909.787,0,27.29
1625123909.798,1,44.53
1625123909.901,0,27.29
1625123909.904,1,44.53
1625123910.007,0,27.29
1625123910.019,1,44.62
1625123910.122,0,27.29
1625123910.125,1,44.53
1625123910.227,0,27.2
1625123910.231,1,44.53
1625123910.334,0,27.29
1625123910.342,1,44.62
1625123910.445,0,27.27
1625123910.448,1,44.49
1625123910.551,0,27.37
1625123910.562,1,44.59
1625123910.665,0,27.27
1625123910.668,1,44.58
1625123910.771,0,27.26
1625123910.782,1,44.66
1625123910.886,0,27.36
1625123910.889,1,44.59
1625123910.992,0,27.27
1625123911.003,1,44.58
1625123911.106,0,27.37
1625123911.109,1,44.59
1625123911.212,0,27.36
1625123911.215,1,44.57
1625123911.318,0,27.36
1625123911.325,1,44.58
1625123911.428,0,27.27
1625123911.431,1,44.49
1625123911.534,0,27.27
1625123911.537,1,44.56
1625123911.64,0,27.36
1625123911.646,1,44.49
1625123911.749,0,27.27
1625123911.753,1,44.59
1625123911.855,0,27.36
1625123911.868,1,44.49
1625123911.971,0,27.27
1625123911.975,1,44.49
1625123912.079,0,27.39
1625123912.088,1,44.53
1625123912.191,0,27.29
1625123912.194,1,44.53
1625123912.297,0,27.19
1625123912.3,1,44.62
1625123912.405,0,27.31
1625123912.41,1,44.53
1625123912.513,0,27.31
1625123912.516,1,44.53
1625123912.618,0,27.2
1625123912.621,1,44.72
1625123912.725,0,27.29
1625123912.731,1,44.53
1625123912.834,0,27.31
1625123912.837,1,44.53
1625123912.94,0,27.29
1625123912.952,1,44.53
1625123913.054,0,27.31
1625123913.057,1,44.53
1625123913.16,0,27.31
1625123913.163,1,44.53
1625123913.267,0,27.29
1625123913.274,1,44.53
1625123913.377,0,27.21
1625123913.38,1,44.53
1625123913.483,0,27.29
1625123913.494,1,44.53
1625123913.597,0,27.3
1625123913.6,1,44.53
1625123913.703,0,27.31
1625123913.706,1,44.53
1625123913.809,0,27.29
1625123913.816,1,44.53
1625123913.92,0,27.39
1625123913.923,1,44.53
1625123914.028,0,27.39
1625123914.037,1,44.53
1625123914.14,0,27.31
1625123914.143,1,44.53
1625123914.249,0,27.29
1625123914.258,1,44.53
1625123914.36,0,27.3
1625123914.364,1,44.53
1625123914.469,0,27.29
1625123914.479,1,44.5
1625123914.584,0,27.29
1625123914.587,1,44.53
1625123914.69,0,27.3
1625123914.7,1,44.53
1625123914.803,0,27.29
1625123914.806,1,44.53
1625123914.91,0,27.29
1625123914.92,1,44.53
1625123915.023,0,27.29
1625123915.027,1,44.53
1625123915.131,0,27.29
1625123915.141,1,44.6
1625123915.244,0,27.29
1625123915.247,1,44.53
1625123915.352,0,27.29
1625123915.363,1,44.53
1625123915.466,0,27.29
1625123915.469,1,44.53
1625123915.572,0,27.29
1625123915.584,1,44.53
1625123915.687,0,27.3
1625123915.69,1,44.62
1625123915.793,0,27.27
1625123915.804,1,44.59
1625123915.908,0,27.27
1625123915.91,1,44.49
1625123916.013,0,27.29
1625123916.017,1,44.53
1625123916.119,0,27.29
1625123916.126,1,44.51
1625123916.229,0,27.19
1625123916.232,1,44.53
1625123916.335,0,27.38
1625123916.346,1,44.52
1625123916.449,0,27.29
1625123916.452,1,44.5
1625123916.555,0,27.29
1625123916.558,1,44.53
1625123916.661,0,27.29
1625123916.668,1,44.53
1625123916.774,0,27.29
1625123916.777,1,44.52
1625123916.88,0,27.29
1625123916.891,1,44.53
1625123916.995,0,27.29
1625123916.998,1,44.53
1625123917.101,0,27.29
1625123917.111,1,44.52
1625123917.216,0,27.29
1625123917.219,1,44.53
1625123917.321,0,27.29
1625123917.333,1,44.53
1625123917.436,0,27.29
1625123917.439,1,44.53
1625123917.542,0,27.29
1625123917.545,1,44.6
1625123917.648,0,27.29
1625123917.656,1,44.53
1625123917.759,0,27.3
1625123917.762,1,44.53
1625123917.865,0,27.31
1625123917.868,1,44.53
1625123917.97,0,27.29
1625123917.978,1,44.53
1625123918.081,0,27.31
1625123918.084,1,44.53
1625123918.188,0,27.31
1625123918.191,1,44.53
1625123918.297,0,27.29
1625123918.301,1,44.53
1625123918.404,0,27.31
1625123918.407,1,44.53
1625123918.51,0,27.31
1625123918.513,1,44.53
1625123918.618,0,27.29
1625123918.623,1,44.53
1625123918.726,0,27.3
1625123918.729,1,44.53
1625123918.832,0,27.31
1625123918.835,1,44.53
1625123918.939,0,27.31
1625123918.946,1,44.53
1625123919.049,0,27.39
1625123919.052,1,44.53
1625123919.155,0,27.3
1625123919.158,1,44.53
1625123919.26,0,27.31
1625123919.268,1,44.53
1625123919.371,0,27.29
1625123919.374,1,44.53
1625123919.48,0,27.29
1625123919.49,1,44.53
1625123919.593,0,27.31
1625123919.596,1,44.53
1625123919.7,0,27.3
1625123919.713,1,44.53
1625123919.816,0,27.29
1625123919.819,1,44.53
1625123919.922,0,27.31
1625123919.925,1,44.53
1625123920.028,0,27.31
1625123920.036,1,44.53
1625123920.141,0,27.31
1625123920.144,1,44.53
1625123920.247,0,27.19
1625123920.257,1,44.62
1625123920.361,0,27.31
1625123920.365,1,44.63
1625123920.467,0,27.29
1625123920.479,1,44.5
1625123920.582,0,27.29
1625123920.585,1,44.53
1625123920.688,0,27.31
1625123920.691,1,44.53
1625123920.796,0,27.29
1625123920.803,1,44.53
1625123920.906,0,27.31
1625123920.909,1,44.53
1625123921.012,0,27.31
1625123921.015,1,44.53
1625123921.118,0,27.29
1625123921.126,1,44.62
1625123921.229,0,27.29
1625123921.232,1,44.53
1625123921.335,0,27.31
1625123921.338,1,44.53
1625123921.444,0,27.31
1625123921.449,1,44.62
1625123921.552,0,27.19
1625123921.555,1,44.53
1625123921.658,0,27.31
1625123921.661,1,44.53
1625123921.765,0,27.31
1625123921.771,1,44.53
1625123921.874,0,27.3
1625123921.877,1,44.62
1625123921.98,0,27.29
1625123921.983,1,44.53
1625123922.086,0,27.31
1625123922.094,1,44.53
