timestamp,gpu_index,power_draw_W
1625000204.151,0,45.7
1625000204.157,1,52.12
1625000204.26,0,45.79
1625000204.263,1,52.0
1625000204.366,0,45.69
1625000204.369,1,52.1
1625000204.471,0,45.72
1625000204.477,1,52.04
1625000204.58,0,45.72
1625000204.583,1,52.02
1625000204.685,0,45.72
1625000204.688,1,52.01
1625000204.792,0,45.72
1625000204.794,1,52.02
1625000204.897,0,45.63
1625000204.902,1,52.04
1625000205.004,0,45.72
1625000205.008,1,51.94
1625000205.112,0,45.72
1625000205.115,1,52.04
1625000205.218,0,45.72
1625000205.221,1,52.04
1625000205.324,0,45.62
1625000205.327,1,52.04
1625000205.433,0,45.73
1625000205.436,1,52.05
1625000205.539,0,45.72
1625000205.542,1,52.04
1625000205.646,0,45.63
1625000205.649,1,52.04
1625000205.754,0,45.62
1625000205.757,1,52.04
1625000205.86,0,45.72
1625000205.863,1,52.04
1625000205.966,0,45.62
1625000205.969,1,52.04
1625000206.074,0,45.72
1625000206.077,1,51.94
1625000206.18,0,45.72
1625000206.183,1,51.94
1625000206.286,0,45.62
1625000206.289,1,51.94
1625000206.395,0,45.72
1625000206.398,1,51.94
1625000206.501,0,45.53
1625000206.506,1,51.94
1625000206.608,0,45.63
1625000206.611,1,51.95
1625000206.716,0,45.63
1625000206.719,1,51.94
1625000206.822,0,45.72
1625000206.825,1,51.94
1625000206.928,0,45.63
1625000206.931,1,51.94
1625000207.036,0,45.62
1625000207.039,1,51.94
1625000207.142,0,45.72
1625000207.146,1,51.94
1625000207.25,0,45.62
1625000207.253,1,51.84
1625000207.357,0,45.5
1625000207.36,1,51.9
1625000207.463,0,45.56
1625000207.467,1,51.87
1625000207.569,0,45.51
1625000207.572,1,51.89
1625000207.678,0,45.61
1625000207.68,1,51.81
1625000207.783,0,45.43
1625000207.787,1,51.87
1625000207.89,0,45.59
1625000207.893,1,52.01
1625000207.999,0,45.53
1625000208.001,1,51.92
1625000208.104,0,45.62
1625000208.111,1,51.79
1625000208.214,0,45.48
1625000208.217,1,51.89
1625000208.319,0,45.55
1625000208.322,1,51.84
1625000208.425,0,45.56
1625000208.431,1,51.77
1625000208.534,0,45.56
1625000208.537,1,51.77
1625000208.64,0,45.53
1625000208.643,1,51.8
1625000208.746,0,45.43
1625000208.749,1,51.8
1625000208.853,0,45.43
1625000208.856,1,51.8
1625000208.961,0,45.62
1625000208.964,1,51.93
1625000209.067,0,45.59
1625000209.07,1,51.98
1625000209.173,0,45.6
1625000209.176,1,51.97
1625000209.281,0,45.56
1625000209.284,1,51.97
1625000209.387,0,45.6
1625000209.39,1,51.97
1625000209.492,0,45.6
1625000209.497,1,51.88
1625000209.602,0,45.6
1625000209.605,1,51.79
1625000209.708,0,45.56
1625000209.711,1,51.97
1625000209.814,0,45.56
1625000209.822,1,51.77
1625000209.925,0,45.56
1625000209.928,1,51.87
1625000210.031,0,45.56
1625000210.033,1,51.87
1625000210.136,0,45.56
1625000210.139,1,51.76
1625000210.244,0,45.56
1625000210.246,1,51.96
1625000210.349,0,45.56
1625000210.352,1,51.97
1625000210.457,0,45.56
1625000210.459,1,51.97
1625000210.565,0,45.56
1625000210.567,1,51.87
1625000210.671,0,45.56
1625000210.673,1,51.87
1625000210.777,0,45.56
1625000210.78,1,51.87
1625000210.885,0,45.56
1625000210.89,1,51.97
1625000210.994,0,45.56
1625000210.996,1,51.87
1625000211.099,0,45.56
1625000211.102,1,51.76
1625000211.206,0,45.56
1625000211.209,1,52.06
1625000211.312,0,45.56
1625000211.316,1,51.96
1625000211.419,0,45.6
1625000211.422,1,51.81
1625000211.526,0,45.6
1625000211.529,1,51.81
1625000211.632,0,45.5
1625000211.636,1,51.78
1625000211.739,0,45.95
1625000211.746,1,51.74
1625000211.849,0,45.7
1625000211.852,1,51.92
1625000211.956,0,45.6
1625000211.959,1,51.81
1625000212.062,0,45.6
1625000212.065,1,51.82
1625000212.168,0,45.6
1625000212.172,1,51.81
1625000212.275,0,45.69
1625000212.277,1,51.81
1625000212.381,0,45.69
1625000212.383,1,51.81
1625000212.488,0,45.6
1625000212.491,1,51.81
1625000212.594,0,45.69
1625000212.6,1,51.81
1625000212.703,0,45.69
1625000212.705,1,51.81
1625000212.809,0,45.69
1625000212.812,1,51.81
1625000212.915,0,45.69
1625000212.918,1,51.81
1625000213.021,0,45.6
1625000213.024,1,51.81
1625000213.13,0,45.69
1625000213.133,1,51.81
1625000213.236,0,45.6
1625000213.239,1,51.81
1625000213.341,0,45.6
1625000213.344,1,51.81
1625000213.45,0,45.6
1625000213.453,1,51.81
1625000213.556,0,45.69
1625000213.561,1,51.81
1625000213.664,0,47.9
1625000213.667,1,54.49
1625000213.771,0,50.69
1625000213.774,1,62.39
1625000213.877,0,112.64
1625000213.88,1,99.51
1625000213.984,0,48.47
1625000213.989,1,57.0
1625000214.093,0,47.53
1625000214.096,1,56.91
1625000214.199,0,46.73
1625000214.202,1,70.41
1625000214.305,0,54.14
1625000214.308,1,68.08
1625000214.413,0,64.52
1625000214.417,1,67.38
1625000214.52,0,110.2
1625000214.526,1,99.35
1625000214.629,0,48.66
1625000214.632,1,57.39
1625000214.735,0,47.53
1625000214.738,1,57.49
1625000214.841,0,47.11
1625000214.844,1,69.93
1625000214.947,0,54.06
1625000214.95,1,68.07
1625000215.055,0,58.75
1625000215.058,1,63.82
1625000215.161,0,97.41
1625000215.165,1,90.81
1625000215.268,0,48.66
1625000215.271,1,88.6
1625000215.376,0,48.47
1625000215.379,1,57.98
1625000215.482,0,47.81
1625000215.487,1,58.45
1625000215.591,0,46.56
1625000215.594,1,63.68
1625000215.697,0,49.01
1625000215.7,1,89.77
1625000215.803,0,55.79
1625000215.806,1,60.94
1625000215.909,0,61.54
1625000215.913,1,63.9
1625000216.017,0,70.36
1625000216.021,1,70.91
1625000216.124,0,99.74
1625000216.127,1,93.65
1625000216.23,0,48.66
1625000216.233,1,88.15
1625000216.338,0,48.47
1625000216.341,1,57.97
1625000216.444,0,47.52
1625000216.451,1,58.84
1625000216.554,0,46.65
1625000216.557,1,64.93
1625000216.66,0,49.59
1625000216.663,1,97.09
1625000216.766,0,55.31
1625000216.77,1,60.75
1625000216.873,0,61.43
1625000216.876,1,64.29
1625000216.98,0,93.0
1625000216.983,1,88.06
1625000217.086,0,67.59
1625000217.089,1,93.61
1625000217.192,0,48.37
1625000217.195,1,57.68
1625000217.301,0,47.42
1625000217.304,1,59.71
1625000217.407,0,47.49
1625000217.41,1,74.45
1625000217.513,0,50.27
1625000217.518,1,89.21
1625000217.622,0,57.33
1625000217.625,1,62.1
1625000217.728,0,65.65
1625000217.732,1,68.22
1625000217.835,0,78.83
1625000217.838,1,75.62
1625000217.943,0,106.83
1625000217.947,1,118.77
