timestamp,gpu_index,power_draw_W
1623517961.234,0,34.81
1623517961.338,0,34.53
1623517961.441,0,34.79
1623517961.543,0,34.78
1623517961.647,0,34.58
1623517961.751,0,34.64
1623517961.854,0,34.65
1623517961.957,0,34.69
1623517962.06,0,34.71
1623517962.163,0,34.76
1623517962.269,0,34.71
1623517962.372,0,33.85
1623517962.475,0,33.84
1623517962.578,0,34.05
1623517962.681,0,33.86
1623517962.784,0,33.8
1623517962.887,0,33.8
1623517962.995,0,33.53
1623517963.099,0,33.87
1623517963.202,0,33.69
1623517963.305,0,33.68
1623517963.408,0,33.86
1623517963.518,0,33.82
1623517963.621,0,33.6
1623517963.724,0,33.72
1623517963.827,0,33.68
1623517963.93,0,33.82
1623517964.037,0,33.63
1623517964.14,0,33.51
1623517964.243,0,33.51
1623517964.346,0,33.51
1623517964.449,0,33.47
1623517964.552,0,33.62
1623517964.659,0,33.41
1623517964.762,0,33.48
1623517964.865,0,33.48
1623517964.968,0,33.59
1623517965.071,0,33.57
1623517965.181,0,33.41
1623517965.284,0,33.32
1623517965.387,0,33.56
1623517965.491,0,33.37
1623517965.598,0,33.44
1623517965.704,0,45.2
1623517965.807,0,46.84
1623517965.911,0,46.74
1623517966.014,0,46.86
1623517966.117,0,46.94
1623517966.223,0,46.93
1623517966.326,0,46.91
1623517966.429,0,46.68
1623517966.532,0,46.78
1623517966.635,0,46.82
1623517966.738,0,46.91
1623517966.841,0,46.9
1623517966.945,0,46.71
1623517967.048,0,46.7
1623517967.151,0,46.96
1623517967.254,0,46.76
1623517967.357,0,46.78
1623517967.46,0,46.67
1623517967.563,0,46.83
1623517967.666,0,46.96
1623517967.769,0,46.72
1623517967.872,0,46.81
1623517967.975,0,46.8
1623517968.078,0,46.93
1623517968.181,0,46.68
1623517968.284,0,46.75
1623517968.389,0,46.66
1623517968.492,0,46.68
1623517968.595,0,46.62
1623517968.698,0,46.73
1623517968.8,0,46.53
1623517968.903,0,46.71
1623517969.006,0,46.71
1623517969.11,0,46.3
1623517969.213,0,46.46
1623517969.316,0,46.53
1623517969.419,0,46.66
1623517969.522,0,46.63
1623517969.625,0,46.62
1623517969.728,0,46.61
1623517969.832,0,46.63
1623517969.935,0,46.8
1623517970.038,0,46.63
