timestamp,gpu_index,power_draw_W
1629223251.212,0,27.1
1629223251.218,1,24.79
1629223251.325,0,27.1
1629223251.328,1,24.68
1629223251.431,0,27.19
1629223251.442,1,24.89
1629223251.546,0,27.09
1629223251.549,1,24.88
1629223251.663,0,27.1
1629223251.666,1,24.8
1629223251.769,0,27.1
1629223251.779,1,24.8
1629223251.883,0,27.11
1629223251.886,1,24.72
1629223251.989,0,27.11
1629223252.0,1,24.79
1629223252.104,0,27.11
1629223252.107,1,24.71
1629223252.21,0,27.09
1629223252.221,1,24.78
1629223252.324,0,27.19
1629223252.327,1,24.69
1629223252.43,0,27.0
1629223252.443,1,24.79
1629223252.546,0,27.02
1629223252.549,1,24.71
1629223252.652,0,27.19
1629223252.663,1,24.69
1629223252.766,0,27.1
1629223252.769,1,24.7
1629223252.872,0,27.21
1629223252.884,1,24.8
1629223252.987,0,27.11
1629223252.99,1,24.8
1629223253.093,0,27.11
1629223253.104,1,24.71
1629223253.208,0,27.1
1629223253.211,1,24.8
1629223253.314,0,26.91
1629223253.325,1,24.89
1629223253.429,0,27.11
1629223253.432,1,24.71
1629223253.535,0,27.1
1629223253.547,1,24.69
1629223253.651,0,27.1
1629223253.654,1,24.7
1629223253.767,0,27.08
1629223253.77,1,24.68
1629223253.873,0,27.11
1629223253.876,1,24.9
1629223253.989,0,27.11
1629223253.992,1,24.71
1629223254.095,0,27.12
1629223254.098,1,24.8
1629223254.209,0,27.1
1629223254.212,1,24.71
1629223254.315,0,27.2
1629223254.318,1,24.8
1629223254.43,0,27.11
1629223254.433,1,24.8
1629223254.536,0,27.11
1629223254.539,1,24.8
1629223254.65,0,27.01
1629223254.653,1,24.8
1629223254.756,0,27.1
1629223254.759,1,24.79
1629223254.871,0,27.1
1629223254.874,1,24.71
1629223254.977,0,27.11
1629223254.98,1,24.8
1629223255.092,0,27.02
1629223255.095,1,24.81
1629223255.198,0,27.11
1629223255.201,1,24.8
1629223255.313,0,27.1
1629223255.316,1,24.71
1629223255.419,0,27.01
1629223255.422,1,24.9
1629223255.533,0,27.0
1629223255.536,1,24.7
1629223255.639,0,27.19
1629223255.642,1,24.89
1629223255.754,0,27.1
1629223255.757,1,24.8
1629223255.86,0,27.1
1629223255.863,1,24.79
1629223255.974,0,27.0
1629223255.977,1,24.79
1629223256.08,0,27.1
1629223256.083,1,24.79
1629223256.195,0,27.11
1629223256.198,1,24.8
1629223256.301,0,27.1
1629223256.304,1,24.9
1629223256.414,0,27.11
1629223256.418,1,24.8
1629223256.521,0,27.11
1629223256.524,1,24.9
1629223256.636,0,27.1
1629223256.639,1,24.8
1629223256.742,0,27.02
1629223256.745,1,24.8
1629223256.857,0,27.12
1629223256.86,1,24.8
1629223256.964,0,27.01
1629223256.967,1,24.8
1629223257.078,0,27.1
1629223257.081,1,24.8
1629223257.184,0,27.11
1629223257.187,1,24.9
1629223257.298,0,27.1
1629223257.302,1,24.9
1629223257.404,0,27.1
1629223257.407,1,24.89
1629223257.519,0,27.1
1629223257.522,1,24.79
1629223257.625,0,27.01
1629223257.628,1,24.9
1629223257.739,0,27.11
1629223257.743,1,24.8
1629223257.846,0,27.1
1629223257.849,1,24.8
1629223257.96,0,27.12
1629223257.965,1,24.71
1629223258.069,0,27.11
1629223258.072,1,24.8
1629223258.181,0,27.1
1629223258.185,1,24.8
1629223258.288,0,27.11
1629223258.291,1,24.8
1629223258.402,0,27.21
1629223258.406,1,24.71
1629223258.509,0,27.11
1629223258.512,1,24.8
1629223258.622,0,27.12
1629223258.626,1,24.81
1629223258.729,0,27.21
1629223258.732,1,24.9
1629223258.842,0,27.19
1629223258.847,1,24.8
1629223258.95,0,27.11
1629223258.953,1,24.8
1629223259.065,0,27.21
1629223259.068,1,24.71
1629223259.172,0,27.02
1629223259.174,1,24.8
1629223259.284,0,27.1
1629223259.289,1,24.8
1629223259.392,0,27.1
1629223259.395,1,24.71
1629223259.504,0,27.1
1629223259.51,1,24.9
1629223259.613,0,27.01
1629223259.616,1,24.7
1629223259.725,0,27.0
1629223259.73,1,24.8
1629223259.833,0,27.21
1629223259.836,1,24.8
1629223259.946,0,27.1
1629223259.951,1,24.79
1629223260.066,0,27.21
1629223260.072,1,24.7
1629223260.186,0,27.1
1629223260.192,1,24.71
1629223260.307,0,27.11
1629223260.312,1,24.71
1629223260.415,0,27.1
1629223260.418,1,24.79
1629223260.528,0,27.0
1629223260.534,1,24.8
1629223260.648,0,27.01
1629223260.653,1,24.8
1629223260.767,0,27.12
1629223260.775,1,24.8
1629223260.888,0,27.01
1629223260.894,1,24.7
1629223261.009,0,27.11
1629223261.015,1,24.89
1629223261.128,0,27.1
1629223261.135,1,24.79
1629223261.249,0,27.11
1629223261.256,1,24.8
1629223261.37,0,27.11
1629223261.377,1,24.8
1629223261.49,0,27.01
1629223261.497,1,24.8
1629223261.611,0,27.11
1629223261.617,1,24.9
1629223261.73,0,27.11
1629223261.738,1,24.8
1629223261.85,0,27.11
1629223261.859,1,24.79
1629223261.972,0,27.0
1629223261.98,1,24.9
1629223262.092,0,27.1
1629223262.099,1,24.79
1629223262.213,0,27.11
1629223262.22,1,24.9
1629223262.332,0,27.1
1629223262.341,1,24.8
1629223262.453,0,27.1
1629223262.461,1,24.79
1629223262.574,0,27.1
1629223262.582,1,24.89
1629223262.694,0,27.0
1629223262.702,1,24.9
1629223262.815,0,27.02
1629223262.822,1,24.89
1629223262.934,0,27.01
1629223262.943,1,24.7
1629223263.055,0,27.19
1629223263.063,1,24.7
1629223263.176,0,27.1
1629223263.184,1,24.8
1629223263.295,0,27.21
1629223263.304,1,24.8
1629223263.416,0,27.0
1629223263.424,1,24.9
1629223263.536,0,27.1
1629223263.545,1,24.79
1629223263.656,0,27.1
1629223263.665,1,24.8
1629223263.777,0,27.21
1629223263.786,1,24.71
1629223263.897,0,27.2
1629223263.907,1,24.7
1629223264.018,0,27.11
1629223264.026,1,24.79
1629223264.137,0,27.1
1629223264.147,1,24.9
1629223264.258,0,27.1
1629223264.267,1,24.7
1629223264.379,0,27.1
1629223264.388,1,24.88
1629223264.498,0,27.1
1629223264.508,1,24.7
1629223264.618,0,27.1
1629223264.629,1,24.79
1629223264.739,0,27.01
1629223264.749,1,24.8
1629223264.859,0,27.2
1629223264.87,1,24.9
1629223264.98,0,27.01
1629223264.991,1,24.72
1629223265.1,0,27.1
1629223265.111,1,24.9
1629223265.222,0,27.12
1629223265.231,1,24.8
1629223265.341,0,27.21
1629223265.353,1,24.8
1629223265.461,0,27.11
1629223265.473,1,24.7
1629223265.582,0,27.19
1629223265.594,1,24.89
1629223265.701,0,27.19
1629223265.714,1,24.8
1629223265.824,0,27.21
1629223265.834,1,24.8
1629223265.942,0,27.1
1629223265.955,1,24.8
1629223266.062,0,27.1
1629223266.075,1,24.79
1629223266.184,0,27.1
1629223266.196,1,24.8
1629223266.304,0,27.1
1629223266.316,1,24.8
1629223266.425,0,27.2
1629223266.433,1,24.79
1629223266.545,0,27.11
1629223266.553,1,24.79
1629223266.664,0,27.11
1629223266.667,1,24.8
1629223266.77,0,27.11
1629223266.775,1,24.9
1629223266.886,0,27.01
1629223266.896,1,24.9
1629223267.006,0,27.02
1629223267.009,1,24.71
1629223267.112,0,27.1
1629223267.121,1,24.69
1629223267.228,0,27.1
1629223267.231,1,24.7
1629223267.334,0,27.1
1629223267.342,1,24.9
1629223267.447,0,27.0
1629223267.451,1,24.9
1629223267.554,0,27.21
1629223267.564,1,24.61
1629223267.667,0,27.11
1629223267.67,1,24.7
1629223267.773,0,27.19
1629223267.785,1,24.8
1629223267.889,0,27.0
1629223267.892,1,24.71
1629223267.995,0,27.11
1629223268.009,1,24.79
1629223268.113,0,27.11
1629223268.116,1,24.71
1629223268.23,0,27.1
1629223268.233,1,24.8
1629223268.336,0,27.01
1629223268.339,1,24.88
1629223268.45,0,26.92
1629223268.454,1,24.9
1629223268.557,0,27.1
1629223268.56,1,24.9
1629223268.671,0,27.2
1629223268.674,1,24.8
1629223268.777,0,27.01
1629223268.78,1,24.8
1629223268.891,0,27.11
1629223268.894,1,24.81
1629223268.997,0,27.1
1629223269.0,1,24.9
1629223269.113,0,27.12
1629223269.116,1,24.8
1629223269.22,0,27.01
1629223269.223,1,24.79
1629223269.333,0,27.11
1629223269.338,1,24.71
1629223269.441,0,27.11
1629223269.444,1,24.8
1629223269.553,0,27.1
1629223269.559,1,24.8
1629223269.662,0,27.02
1629223269.665,1,24.81
1629223269.774,0,27.1
1629223269.781,1,24.7
1629223269.896,0,27.01
1629223269.901,1,24.71
1629223270.015,0,27.1
1629223270.023,1,24.8
1629223270.136,0,27.1
1629223270.144,1,24.8
1629223270.256,0,27.09
1629223270.264,1,24.7
1629223270.376,0,27.11
1629223270.385,1,24.71
1629223270.497,0,27.11
1629223270.506,1,24.9
1629223270.618,0,27.1
1629223270.627,1,24.71
1629223270.739,0,27.1
1629223270.748,1,24.9
1629223270.86,0,27.11
1629223270.869,1,24.8
1629223270.98,0,27.01
1629223270.99,1,24.8
1629223271.101,0,27.1
1629223271.11,1,24.8
1629223271.221,0,27.19
1629223271.232,1,24.71
1629223271.34,0,27.19
1629223271.352,1,24.89
1629223271.463,0,27.0
1629223271.473,1,24.8
1629223271.582,0,27.11
1629223271.594,1,24.8
1629223271.703,0,27.11
1629223271.714,1,24.8
1629223271.824,0,27.1
1629223271.837,1,24.79
1629223271.943,0,27.02
1629223271.946,1,24.81
1629223272.049,0,27.21
1629223272.058,1,24.8
1629223272.165,0,27.12
1629223272.168,1,24.8
1629223272.271,0,27.02
1629223272.279,1,24.8
1629223272.387,0,27.1
1629223272.39,1,24.7
1629223272.493,0,27.1
1629223272.501,1,24.79
1629223272.607,0,27.11
1629223272.61,1,24.71
1629223272.713,0,27.01
1629223272.723,1,24.8
1629223272.828,0,27.11
1629223272.831,1,24.81
1629223272.934,0,27.1
1629223272.945,1,24.79
1629223273.049,0,27.2
1629223273.052,1,24.8
1629223273.155,0,27.1
1629223273.166,1,24.8
1629223273.269,0,27.21
1629223273.272,1,24.71
1629223273.375,0,27.1
1629223273.387,1,24.79
1629223273.49,0,27.11
1629223273.494,1,24.8
1629223273.596,0,27.11
1629223273.609,1,24.8
1629223273.712,0,27.11
1629223273.715,1,24.81
1629223273.818,0,27.11
1629223273.83,1,24.8
1629223273.934,0,27.01
1629223273.937,1,24.7
1629223274.04,0,27.1
1629223274.055,1,24.8
1629223274.158,0,27.19
1629223274.16,1,24.89
1629223274.273,0,27.1
1629223274.276,1,24.8
1629223274.379,0,27.1
1629223274.382,1,24.79
1629223274.493,0,27.1
1629223274.497,1,24.8
1629223274.601,0,27.21
1629223274.604,1,24.9
1629223274.716,0,27.01
1629223274.719,1,24.7
1629223274.822,0,27.11
1629223274.825,1,24.8
1629223274.936,0,27.0
1629223274.939,1,24.9
1629223275.043,0,27.21
1629223275.046,1,24.8
1629223275.157,0,27.21
1629223275.161,1,24.71
1629223275.264,0,27.12
1629223275.267,1,24.9
1629223275.378,0,27.01
1629223275.381,1,24.8
1629223275.483,0,27.19
1629223275.486,1,24.7
1629223275.597,0,27.11
1629223275.601,1,24.8
1629223275.704,0,27.21
1629223275.707,1,24.8
1629223275.819,0,27.11
1629223275.822,1,24.81
1629223275.925,0,27.11
1629223275.929,1,24.79
1629223276.041,0,27.01
1629223276.044,1,24.8
1629223276.147,0,27.2
1629223276.151,1,24.8
1629223276.262,0,27.21
1629223276.265,1,24.8
1629223276.368,0,27.11
1629223276.371,1,24.71
1629223276.483,0,27.1
1629223276.486,1,24.8
1629223276.589,0,27.01
1629223276.592,1,24.8
1629223276.704,0,27.12
1629223276.707,1,24.9
1629223276.81,0,27.2
1629223276.813,1,24.9
1629223276.925,0,27.19
1629223276.928,1,24.8
1629223277.031,0,27.09
1629223277.034,1,24.79
1629223277.145,0,27.1
1629223277.148,1,24.6
1629223277.251,0,27.01
1629223277.255,1,24.8
1629223277.366,0,27.21
1629223277.369,1,24.71
1629223277.472,0,27.11
1629223277.475,1,24.8
1629223277.586,0,27.11
1629223277.589,1,24.8
1629223277.692,0,27.0
1629223277.695,1,24.88
1629223277.807,0,27.19
1629223277.81,1,24.79
1629223277.913,0,27.12
1629223277.916,1,24.9
1629223278.029,0,27.0
1629223278.032,1,24.7
1629223278.135,0,27.1
1629223278.147,1,24.79
1629223278.251,0,27.11
1629223278.253,1,24.8
1629223278.356,0,27.01
1629223278.368,1,24.71
1629223278.471,0,27.01
1629223278.474,1,24.8
1629223278.577,0,27.1
1629223278.588,1,24.8
1629223278.691,0,27.11
1629223278.694,1,24.8
1629223278.797,0,27.1
1629223278.809,1,24.8
1629223278.912,0,27.1
1629223278.915,1,24.8
1629223279.018,0,27.1
1629223279.029,1,24.7
1629223279.134,0,27.1
1629223279.137,1,24.8
1629223279.24,0,27.21
1629223279.25,1,24.79
1629223279.354,0,27.11
1629223279.358,1,24.8
1629223279.461,0,27.11
1629223279.471,1,24.8
1629223279.575,0,27.01
1629223279.578,1,24.8
1629223279.681,0,27.1
1629223279.691,1,24.71
1629223279.796,0,27.1
1629223279.799,1,24.8
1629223279.902,0,27.1
1629223279.912,1,24.7
1629223280.016,0,27.1
1629223280.019,1,24.7
1629223280.122,0,27.1
1629223280.132,1,24.69
1629223280.238,0,27.1
1629223280.241,1,24.9
1629223280.344,0,27.21
1629223280.353,1,24.7
1629223280.458,0,27.2
1629223280.462,1,24.7
1629223280.565,0,27.1
1629223280.574,1,24.79
1629223280.68,0,27.1
1629223280.683,1,24.7
1629223280.786,0,27.1
1629223280.794,1,24.7
1629223280.9,0,27.1
1629223280.903,1,24.9
1629223281.006,0,27.21
1629223281.015,1,24.71
1629223281.121,0,27.19
1629223281.124,1,24.8
1629223281.227,0,27.1
1629223281.235,1,24.7
1629223281.342,0,27.1
1629223281.345,1,24.71
1629223281.448,0,27.09
1629223281.456,1,24.79
1629223281.563,0,27.1
1629223281.566,1,24.8
1629223281.669,0,27.1
1629223281.676,1,24.9
1629223281.783,0,27.1
1629223281.786,1,24.79
1629223281.889,0,27.0
1629223281.897,1,24.8
1629223282.003,0,27.11
1629223282.006,1,24.81
1629223282.109,0,27.1
1629223282.117,1,24.89
1629223282.225,0,27.1
1629223282.238,1,24.71
1629223282.347,0,27.1
1629223282.358,1,24.8
1629223282.467,0,27.0
1629223282.479,1,24.8
1629223282.588,0,27.1
1629223282.599,1,24.88
1629223282.707,0,27.0
1629223282.719,1,24.8
1629223282.828,0,27.1
1629223282.839,1,24.7
1629223282.949,0,27.11
1629223282.961,1,24.8
1629223283.069,0,27.11
1629223283.08,1,24.71
1629223283.19,0,27.01
1629223283.2,1,24.7
1629223283.31,0,27.21
1629223283.321,1,24.9
1629223283.431,0,27.0
1629223283.441,1,24.9
1629223283.552,0,27.11
1629223283.562,1,24.7
1629223283.672,0,27.1
1629223283.682,1,24.9
1629223283.792,0,27.0
1629223283.802,1,24.8
1629223283.912,0,27.1
1629223283.923,1,24.7
1629223284.033,0,27.11
1629223284.043,1,24.9
1629223284.155,0,27.1
1629223284.164,1,24.8
1629223284.275,0,27.18
1629223284.284,1,24.89
1629223284.396,0,27.19
1629223284.404,1,24.69
1629223284.516,0,27.1
1629223284.525,1,24.79
1629223284.636,0,27.09
1629223284.645,1,24.79
1629223284.757,0,27.1
1629223284.765,1,24.7
1629223284.878,0,27.1
1629223284.886,1,24.8
1629223284.998,0,27.2
1629223285.007,1,24.8
1629223285.118,0,27.1
1629223285.126,1,24.9
1629223285.238,0,27.0
1629223285.247,1,24.9
1629223285.36,0,27.1
1629223285.367,1,24.71
1629223285.479,0,27.1
1629223285.487,1,24.7
1629223285.6,0,27.11
1629223285.608,1,24.8
1629223285.721,0,27.19
1629223285.751,1,24.8
1629223285.863,0,27.02
1629223285.868,1,24.9
1629223285.982,0,27.11
1629223285.989,1,24.9
1629223286.103,0,27.2
1629223286.109,1,24.7
1629223286.223,0,27.1
1629223286.23,1,24.79
1629223286.344,0,27.0
1629223286.35,1,24.79
1629223286.464,0,27.1
1629223286.47,1,24.8
1629223286.585,0,27.18
1629223286.591,1,24.69
1629223286.704,0,27.21
1629223286.711,1,24.8
1629223286.826,0,27.09
1629223286.831,1,24.87
1629223286.945,0,27.19
1629223286.953,1,24.79
1629223287.065,0,27.19
1629223287.072,1,24.79
1629223287.175,0,27.0
1629223287.179,1,24.79
1629223287.288,0,27.08
1629223287.292,1,24.88
1629223287.396,0,27.1
1629223287.399,1,24.71
1629223287.508,0,27.1
1629223287.513,1,24.71
1629223287.617,0,27.21
1629223287.62,1,24.9
1629223287.729,0,27.11
1629223287.734,1,24.8
1629223287.837,0,27.1
1629223287.84,1,24.8
1629223287.95,0,27.01
1629223287.954,1,24.8
1629223288.057,0,27.21
1629223288.06,1,24.8
1629223288.172,0,27.11
1629223288.175,1,24.71
1629223288.278,0,27.1
1629223288.281,1,24.7
1629223288.391,0,27.19
1629223288.396,1,24.89
1629223288.5,0,27.11
1629223288.503,1,24.7
1629223288.613,0,27.09
1629223288.616,1,24.69
1629223288.719,0,27.1
1629223288.722,1,24.79
1629223288.833,0,27.1
1629223288.837,1,24.79
1629223288.94,0,27.1
1629223288.943,1,24.8
1629223289.054,0,27.1
1629223289.057,1,24.7
1629223289.16,0,27.11
