timestamp,gpu_index,power_draw_W
1623673216.121,0,43.26
1623673216.124,1,42.62
1623673216.229,0,43.26
1623673216.232,1,42.51
1623673216.335,0,43.26
1623673216.338,1,42.51
1623673216.441,0,43.26
1623673216.444,1,42.62
1623673216.549,0,43.26
1623673216.556,1,42.51
1623673216.659,0,43.25
1623673216.661,1,42.59
1623673216.764,0,43.26
1623673216.767,1,42.51
1623673216.87,0,43.26
1623673216.873,1,42.6
1623673216.976,0,43.26
1623673216.979,1,42.51
1623673217.082,0,43.26
1623673217.085,1,42.7
1623673217.19,0,43.26
1623673217.193,1,42.51
1623673217.296,0,43.26
1623673217.302,1,42.5
1623673217.405,0,43.26
1623673217.408,1,42.51
1623673217.511,0,43.25
1623673217.514,1,42.51
1623673217.617,0,43.26
1623673217.62,1,42.51
1623673217.723,0,43.28
1623673217.727,1,42.53
1623673217.833,0,43.29
1623673217.836,1,42.53
1623673217.939,0,43.29
1623673217.941,1,42.53
1623673218.044,0,43.29
1623673218.047,1,42.53
1623673218.153,0,43.3
1623673218.156,1,42.54
1623673218.258,0,43.28
1623673218.261,1,42.53
1623673218.364,0,43.26
1623673218.367,1,42.51
1623673218.47,0,43.27
1623673218.473,1,42.53
1623673218.575,0,43.28
1623673218.584,1,42.53
1623673218.687,0,43.28
1623673218.689,1,42.53
1623673218.794,0,43.28
1623673218.797,1,42.53
1623673218.899,0,43.28
1623673218.902,1,42.53
1623673219.005,0,43.29
1623673219.031,1,42.47
1623673219.135,0,43.25
1623673219.138,1,42.59
1623673219.241,0,43.33
1623673219.244,1,42.59
1623673219.347,0,43.23
1623673219.35,1,42.68
1623673219.455,0,43.33
1623673219.458,1,42.78
1623673219.562,0,43.22
1623673219.564,1,42.76
1623673219.667,0,43.22
1623673219.67,1,42.47
1623673219.773,0,43.22
1623673219.776,1,42.66
1623673219.879,0,43.22
1623673219.884,1,42.56
1623673219.986,0,43.22
1623673219.989,1,42.56
1623673220.092,0,43.22
1623673220.095,1,42.56
1623673220.199,0,43.22
1623673220.201,1,42.56
1623673220.304,0,43.22
1623673220.307,1,42.47
1623673220.41,0,43.22
1623673220.418,1,42.56
1623673220.521,0,43.23
1623673220.523,1,42.48
1623673220.626,0,43.23
1623673220.629,1,42.48
1623673220.732,0,43.23
1623673220.734,1,42.57
1623673220.837,0,43.23
1623673220.84,1,42.48
