timestamp,gpu_index,power_draw_W
1629194706.301,0,26.33
1629194706.305,1,25.47
1629194706.408,0,26.42
1629194706.411,1,25.56
1629194706.52,0,26.42
1629194706.523,1,25.56
1629194706.626,0,26.33
1629194706.628,1,25.56
1629194706.731,0,26.42
1629194706.741,1,25.45
1629194706.845,0,26.44
1629194706.848,1,25.58
1629194706.951,0,26.26
1629194706.954,1,25.58
1629194707.057,0,26.42
1629194707.063,1,25.65
1629194707.167,0,26.43
1629194707.17,1,25.46
1629194707.273,0,26.36
1629194707.276,1,25.58
1629194707.379,0,26.32
1629194707.385,1,25.56
1629194707.489,0,26.44
1629194707.492,1,25.58
1629194707.595,0,26.45
1629194707.598,1,25.48
1629194707.701,0,26.34
1629194707.708,1,25.48
1629194707.811,0,26.33
1629194707.814,1,25.66
1629194707.917,0,26.24
1629194707.92,1,25.67
1629194708.023,0,26.32
1629194708.029,1,25.66
1629194708.132,0,26.44
1629194708.135,1,25.56
1629194708.238,0,26.45
1629194708.241,1,25.48
1629194708.344,0,26.45
1629194708.353,1,25.48
1629194708.456,0,26.35
1629194708.459,1,25.48
1629194708.562,0,26.34
1629194708.565,1,25.48
1629194708.673,0,26.35
1629194708.676,1,25.48
1629194708.779,0,26.45
1629194708.782,1,25.59
1629194708.885,0,26.45
1629194708.888,1,25.48
1629194708.993,0,26.45
1629194708.997,1,25.58
1629194709.1,0,26.34
1629194709.103,1,25.58
1629194709.206,0,26.44
1629194709.209,1,25.58
1629194709.314,0,26.44
1629194709.319,1,25.58
1629194709.422,0,26.35
1629194709.425,1,25.48
1629194709.528,0,26.34
1629194709.531,1,25.58
1629194709.637,0,26.44
1629194709.641,1,25.58
1629194709.744,0,26.35
1629194709.747,1,25.48
1629194709.85,0,26.24
1629194709.853,1,25.48
1629194709.959,0,26.34
1629194709.964,1,25.48
1629194710.067,0,26.36
1629194710.07,1,25.48
1629194710.173,0,26.44
1629194710.176,1,25.48
1629194710.28,0,26.36
1629194710.286,1,25.49
1629194710.389,0,26.34
1629194710.392,1,25.48
1629194710.495,0,26.45
1629194710.498,1,25.48
1629194710.603,0,26.36
1629194710.608,1,25.48
1629194710.711,0,26.36
1629194710.714,1,25.48
1629194710.823,0,26.35
1629194710.829,1,25.48
1629194710.932,0,26.36
1629194710.935,1,25.48
1629194711.044,0,26.36
1629194711.051,1,25.58
1629194711.154,0,26.35
1629194711.157,1,25.58
1629194711.263,0,26.45
1629194711.266,1,25.48
1629194711.369,0,26.43
1629194711.374,1,25.66
1629194711.477,0,26.34
1629194711.48,1,25.56
1629194711.585,0,26.44
1629194711.588,1,25.58
1629194711.691,0,26.34
1629194711.696,1,25.67
1629194711.799,0,26.44
1629194711.802,1,25.67
1629194711.906,0,26.36
1629194711.909,1,25.67
1629194712.012,0,26.44
1629194712.018,1,25.48
1629194712.121,0,26.45
1629194712.124,1,25.48
1629194712.228,0,26.34
1629194712.23,1,25.58
1629194712.333,0,26.35
1629194712.34,1,25.58
1629194712.448,0,26.35
1629194712.451,1,25.58
1629194712.554,0,26.44
1629194712.561,1,25.57
1629194712.668,0,26.44
1629194712.671,1,25.67
1629194712.774,0,26.45
1629194712.784,1,25.48
1629194712.891,0,26.36
1629194712.894,1,25.48
1629194712.997,0,26.34
1629194713.004,1,25.56
1629194713.111,0,26.34
1629194713.114,1,25.46
1629194713.217,0,26.44
1629194713.225,1,25.58
1629194713.333,0,26.44
1629194713.336,1,25.48
1629194713.439,0,26.35
1629194713.445,1,25.48
1629194713.555,0,26.34
1629194713.557,1,25.48
1629194713.66,0,26.44
1629194713.665,1,25.48
1629194713.775,0,26.35
1629194713.779,1,25.58
1629194713.882,0,26.35
1629194713.886,1,25.48
1629194713.997,0,26.35
1629194714.0,1,25.48
1629194714.103,0,26.35
1629194714.107,1,25.48
1629194714.21,0,26.45
1629194714.213,1,25.58
1629194714.319,0,26.36
1629194714.322,1,25.58
1629194714.424,0,26.44
1629194714.427,1,25.58
1629194714.53,0,26.45
1629194714.533,1,25.48
1629194714.639,0,26.44
1629194714.642,1,25.58
1629194714.745,0,26.45
1629194714.748,1,25.58
1629194714.852,0,26.36
1629194714.855,1,25.48
1629194714.961,0,26.26
1629194714.969,1,25.48
1629194715.072,0,26.36
1629194715.076,1,25.58
1629194715.183,0,26.44
1629194715.19,1,25.66
1629194715.293,0,26.42
1629194715.296,1,25.56
1629194715.399,0,26.34
1629194715.403,1,25.58
1629194715.506,0,26.34
1629194715.511,1,25.58
1629194715.614,0,26.34
1629194715.617,1,25.58
1629194715.719,0,26.34
1629194715.722,1,25.67
1629194715.827,0,26.44
1629194715.831,1,25.48
1629194715.934,0,26.44
1629194715.937,1,25.67
1629194716.04,0,26.44
1629194716.043,1,25.58
1629194716.149,0,26.44
1629194716.152,1,25.58
1629194716.255,0,26.34
1629194716.258,1,25.58
1629194716.362,0,26.35
1629194716.365,1,25.58
1629194716.47,0,26.35
1629194716.473,1,25.58
1629194716.576,0,26.36
1629194716.579,1,25.48
1629194716.682,0,26.26
1629194716.686,1,25.48
1629194716.792,0,26.26
1629194716.795,1,25.48
1629194716.898,0,26.36
1629194716.901,1,25.58
1629194717.004,0,26.26
1629194717.007,1,25.48
1629194717.115,0,26.34
1629194717.118,1,25.67
1629194717.221,0,26.35
1629194717.224,1,25.58
1629194717.327,0,26.35
1629194717.334,1,25.58
1629194717.438,0,26.44
1629194717.441,1,25.58
1629194717.544,0,26.25
1629194717.547,1,25.48
1629194717.65,0,26.45
1629194717.655,1,25.58
1629194717.759,0,26.35
1629194717.762,1,25.58
1629194717.865,0,26.26
1629194717.868,1,25.59
1629194717.971,0,26.45
1629194717.976,1,25.58
1629194718.082,0,26.35
1629194718.085,1,25.48
1629194718.188,0,26.35
1629194718.196,1,25.58
1629194718.303,0,26.36
1629194718.306,1,25.58
1629194718.409,0,26.36
1629194718.416,1,25.59
1629194718.525,0,26.36
1629194718.528,1,25.69
1629194718.631,0,26.26
1629194718.637,1,25.5
1629194718.74,0,26.26
1629194718.743,1,25.67
1629194718.848,0,26.36
1629194718.851,1,25.59
1629194718.954,0,26.36
1629194718.958,1,25.59
1629194719.062,0,26.26
1629194719.064,1,25.59
1629194719.17,0,26.36
1629194719.173,1,25.59
1629194719.276,0,26.35
1629194719.279,1,25.58
1629194719.383,0,26.26
1629194719.385,1,25.59
1629194719.492,0,26.36
1629194719.499,1,25.59
1629194719.602,0,26.36
1629194719.605,1,25.69
1629194719.708,0,26.35
1629194719.711,1,25.58
1629194719.814,0,26.36
1629194719.82,1,25.48
1629194719.923,0,26.36
1629194719.926,1,25.58
1629194720.029,0,26.36
1629194720.032,1,25.59
1629194720.138,0,26.35
1629194720.141,1,25.48
1629194720.244,0,26.36
1629194720.247,1,25.49
1629194720.35,0,26.26
1629194720.353,1,25.59
1629194720.461,0,26.45
1629194720.464,1,25.68
1629194720.567,0,26.36
1629194720.57,1,25.59
1629194720.673,0,26.36
1629194720.676,1,25.59
1629194720.783,0,26.45
1629194720.786,1,25.59
1629194720.889,0,26.36
1629194720.893,1,25.59
1629194720.996,0,26.36
1629194721.003,1,25.49
1629194721.106,0,26.35
1629194721.109,1,25.48
1629194721.212,0,26.36
1629194721.215,1,25.5
1629194721.318,0,26.36
1629194721.324,1,25.49
1629194721.43,0,26.45
1629194721.433,1,25.49
1629194721.536,0,26.44
1629194721.544,1,25.58
1629194721.652,0,26.34
1629194721.655,1,25.48
