epoch,train_rmse,val_rmse,train_mae,val_mae,lr,C_die0,C_sink0,R_pst0,C_die1,C_sink1,R_pst1,k01,k10,h_base0,h_act0,T_thr0,h_base1,h_act1,T_thr1,q0,q1,epoch_time_sec
1,4.882052,4.472804,3.665834,3.512991,0.010000,2.5002,622.7679,0.0412,2.5092,627.7649,0.0399,0.0629,0.0214,4.5744,10.4121,67.5595,4.6673,13.1245,63.9118,-1.3637,-1.4809,599.46
2,4.168267,4.001531,3.025472,3.050851,0.010000,2.9456,765.3895,0.0380,2.9858,766.8072,0.0358,0.0592,0.0192,4.6780,9.4680,69.6026,4.9308,12.4193,65.6581,-2.0875,-2.3343,583.94
3,3.846050,3.725987,2.742913,2.790468,0.010000,3.3306,963.9419,0.0353,3.4024,960.3766,0.0331,0.0563,0.0179,4.6851,9.4475,70.4475,5.0390,12.1750,66.6344,-2.6768,-2.9723,583.67
4,3.584144,3.481775,2.537190,2.571592,0.010000,3.6391,1184.0846,0.0338,3.7293,1185.4318,0.0315,0.0557,0.0173,4.5848,9.7636,70.7674,5.0142,12.3353,67.0313,-3.0474,-3.3765,730.32
5,3.359193,3.242176,2.352366,2.364654,0.010000,3.9185,1461.4117,0.0319,4.0244,1480.3746,0.0300,0.0533,0.0165,4.5244,10.1016,70.9742,4.9750,12.4779,67.3876,-3.4788,-3.7685,585.21
6,3.141950,3.068889,2.185612,2.218757,0.010000,4.1619,1711.5343,0.0308,4.2772,1756.0566,0.0289,0.0519,0.0160,4.4562,10.5443,70.8862,4.9184,12.7823,67.4110,-3.7907,-4.0647,581.44
7,2.982738,2.924924,2.057346,2.093667,0.010000,4.3976,1965.0825,0.0296,4.5156,2035.4261,0.0280,0.0501,0.0154,4.4070,10.9178,70.8768,4.8740,13.0616,67.4456,-4.0841,-4.3323,586.37
8,2.855155,2.809992,1.956790,1.986562,0.010000,4.6115,2163.9324,0.0293,4.7328,2269.9758,0.0275,0.0491,0.0149,4.3339,11.1765,70.9746,4.8222,13.1255,67.7381,-4.3116,-4.5501,587.91
9,2.760400,2.740586,1.878318,1.926848,0.010000,4.8001,2361.9214,0.0287,4.9229,2494.4302,0.0270,0.0476,0.0144,4.3110,11.5453,70.7773,4.7963,13.4610,67.5228,-4.5494,-4.7589,585.28
10,2.692621,2.659361,1.820072,1.843481,0.010000,4.9718,2542.0334,0.0287,5.0975,2699.2268,0.0268,0.0465,0.0140,4.2508,11.7306,70.9884,4.7464,13.5643,67.7983,-4.7606,-4.9526,750.55
11,2.631554,2.627278,1.764347,1.818556,0.010000,5.1342,2707.2068,0.0281,5.2602,2877.1714,0.0263,0.0446,0.0134,4.2557,12.1704,70.6515,4.7579,13.8483,67.5887,-5.0034,-5.1635,582.51
12,2.587539,2.581185,1.725936,1.770398,0.010000,5.2913,2834.4998,0.0284,5.4122,3028.3320,0.0263,0.0439,0.0130,4.2147,12.3689,70.7141,4.7268,13.9609,67.7041,-5.1504,-5.3085,586.79
13,2.551753,2.551191,1.692543,1.739733,0.010000,5.4382,2960.9397,0.0284,5.5555,3167.8264,0.0262,0.0426,0.0125,4.2082,12.5930,70.6929,4.7358,14.1259,67.6792,-5.3354,-5.4766,592.53
14,2.521594,2.518152,1.664636,1.704922,0.010000,5.5669,3078.9622,0.0286,5.6832,3294.4016,0.0265,0.0417,0.0122,4.1757,12.8344,70.6714,4.7016,14.1920,67.8785,-5.4947,-5.6165,591.00
