timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1630522006.354,0,0,0,32510,0,28,26,24.84,16
1630522006.357,1,0,0,32510,0,27,26,25.72,16
1630522006.46,0,0,0,32510,0,28,26,24.85,16
1630522006.463,1,0,0,32510,0,27,26,25.72,16
1630522006.571,0,0,0,32510,0,28,26,24.84,16
1630522006.574,1,0,0,32510,0,27,26,25.62,16
1630522006.677,0,0,0,32510,0,28,26,24.75,16
1630522006.68,1,0,0,32510,0,27,26,25.63,16
1630522006.791,0,0,0,32510,0,28,26,24.84,16
1630522006.795,1,0,0,32510,0,27,26,25.62,16
1630522006.898,0,0,0,32510,0,28,26,24.84,16
1630522006.901,1,0,0,32510,0,27,26,25.62,16
1630522007.004,0,0,0,32510,0,28,26,24.75,16
1630522007.014,1,0,0,32510,0,27,26,25.72,16
1630522007.117,0,0,0,32510,0,28,26,24.84,16
1630522007.12,1,0,0,32510,0,27,26,25.73,16
1630522007.223,0,0,0,32510,0,28,26,24.86,16
1630522007.235,1,0,0,32510,0,27,26,25.64,16
1630522007.338,0,0,0,32510,0,28,26,24.74,16
1630522007.341,1,0,0,32510,0,27,26,25.63,16
1630522007.444,0,0,0,32510,0,28,26,24.84,16
1630522007.456,1,0,0,32510,0,27,26,25.62,16
1630522007.559,0,0,0,32510,0,28,26,24.74,16
1630522007.562,1,0,0,32510,0,27,26,25.73,16
1630522007.665,0,0,0,32510,0,28,26,24.84,16
1630522007.676,1,0,0,32510,0,27,26,25.73,16
1630522007.78,0,0,0,32510,0,28,26,24.66,16
1630522007.783,1,0,0,32510,0,27,26,25.52,16
1630522007.886,0,0,0,32510,0,28,26,24.76,16
1630522007.896,1,0,0,32510,0,27,26,25.54,16
1630522008,0,0,0,32510,0,28,26,24.85,16
1630522008.003,1,0,0,32510,0,27,26,25.63,16
1630522008.106,0,0,0,32510,0,28,26,24.85,16
1630522008.117,1,0,0,32510,0,27,26,25.73,16
1630522008.221,0,0,0,32510,0,28,26,24.85,16
1630522008.224,1,0,0,32510,0,27,26,25.63,16
1630522008.327,0,0,0,32510,0,28,26,24.85,16
1630522008.339,1,0,0,32510,0,27,26,25.62,16
1630522008.442,0,0,0,32510,0,28,26,24.67,16
1630522008.445,1,0,0,32510,0,27,26,25.55,16
1630522008.548,0,0,0,32510,0,28,26,24.75,16
1630522008.558,1,0,0,32510,0,27,26,25.73,16
1630522008.665,0,0,0,32510,0,28,26,24.85,16
1630522008.668,1,0,0,32510,0,27,26,25.74,16
1630522008.771,0,0,0,32510,0,28,26,24.85,16
1630522008.779,1,0,0,32510,0,27,26,25.73,16
1630522008.886,0,0,0,32510,0,28,26,24.76,16
1630522008.889,1,0,0,32510,0,27,26,25.73,16
1630522008.992,0,0,0,32510,0,28,26,24.76,16
1630522008.999,1,0,0,32510,0,27,26,25.63,16
1630522009.107,0,0,0,32510,0,28,26,24.76,16
1630522009.119,1,0,0,32510,0,27,26,25.63,16
1630522009.228,0,0,0,32510,0,28,26,24.75,16
1630522009.239,1,0,0,32510,0,27,26,25.72,16
1630522009.349,0,0,0,32510,0,28,26,24.75,16
1630522009.36,1,0,0,32510,0,27,26,25.72,16
1630522009.471,0,0,0,32510,0,28,26,24.84,16
1630522009.48,1,0,0,32506,4,27,26,25.73,16
1630522009.591,0,0,0,32506,4,28,26,24.82,16
1630522009.601,1,0,0,32492,18,27,26,30.53,16
1630522009.705,0,0,0,32492,18,28,26,27.03,16
1630522009.708,1,3,0,32203,307,27,26,36.33,16
1630522009.813,0,0,0,32203,307,29,26,36.98,16
1630522009.816,1,3,0,32173,337,27,26,36.3,16
1630522009.919,0,3,0,32203,307,29,26,36.88,16
1630522009.923,1,1,0,32135,375,28,26,36.32,16
1630522010.026,0,0,0,32203,307,29,26,37.06,16
1630522010.03,1,5,0,32101,409,27,26,36.3,16
1630522010.133,0,0,0,32203,307,29,26,37.07,16
1630522010.137,1,5,0,32065,445,28,26,36.4,16
1630522010.24,0,0,0,32163,347,29,26,37.07,16
1630522010.243,1,4,0,32053,457,28,26,36.3,16
1630522010.346,0,5,0,32129,381,29,26,37.17,16
1630522010.349,1,0,0,32053,457,28,26,36.3,16
1630522010.452,0,5,0,32089,421,29,26,37.07,16
1630522010.457,1,0,0,32053,457,28,26,36.4,16
1630522010.56,0,5,0,32053,457,29,26,37.07,16
1630522010.563,1,0,0,32053,457,28,26,36.31,16
1630522010.666,0,5,0,32053,457,29,26,36.98,16
1630522010.669,1,0,0,1921,30589,28,26,36.3,16
1630522010.772,0,1,0,32053,457,29,26,36.96,16
1630522010.778,1,0,0,1921,30589,28,26,36.4,16
1630522010.88,0,0,0,32053,457,29,26,37.16,16
1630522010.883,1,0,0,1921,30589,28,26,36.3,16
1630522010.986,0,0,0,32053,457,29,26,37.04,16
1630522010.989,1,0,0,1921,30589,28,26,57.12,16
1630522011.097,0,0,0,32053,457,29,26,37.04,16
1630522011.099,1,20,12,1921,30589,28,27,52.11,16
1630522011.203,0,0,0,32053,457,29,26,37.05,16
1630522011.205,1,20,12,1921,30589,28,28,36.78,16
1630522011.308,0,0,0,32053,457,29,26,37.05,16
1630522011.312,1,20,12,1921,30589,28,27,36.49,16
1630522011.415,0,0,0,32053,457,29,26,37.07,16
1630522011.419,1,0,0,1921,30589,28,26,36.6,16
1630522011.522,0,0,0,32053,457,29,26,37.07,16
1630522011.526,1,0,0,1921,30589,28,26,36.5,16
1630522011.629,0,0,0,32053,457,29,26,37.06,16
1630522011.633,1,0,0,1921,30589,28,26,36.5,16
1630522011.735,0,0,0,32053,457,29,26,37.07,16
1630522011.74,1,0,0,1921,30589,28,26,36.5,16
1630522011.843,0,0,0,32053,457,29,26,37.16,16
1630522011.846,1,0,0,1921,30589,28,26,36.5,16
1630522011.949,0,0,0,32053,457,29,26,37.07,16
1630522011.952,1,0,0,1921,30589,28,26,36.5,16
1630522012.055,0,0,0,32053,457,29,26,37.18,16
1630522012.061,1,0,0,1921,30589,28,26,36.51,16
1630522012.164,0,0,0,32053,457,29,26,37.18,16
1630522012.166,1,0,0,1921,30589,28,26,36.42,16
1630522012.269,0,0,0,32053,457,29,26,37.08,16
1630522012.272,1,0,0,1921,30589,28,26,36.52,16
1630522012.377,0,0,0,32053,457,29,27,37.08,16
1630522012.381,1,0,0,1921,30589,28,26,36.52,16
1630522012.484,0,0,0,32053,457,29,26,37.05,16
1630522012.487,1,0,0,1921,30589,28,26,36.38,16
1630522012.59,0,0,0,32053,457,29,26,37.06,16
1630522012.593,1,0,0,1921,30589,28,26,36.5,16
1630522012.696,0,0,0,32053,457,29,26,37.07,16
1630522012.698,1,0,0,1921,30589,28,26,36.51,16
1630522012.801,0,0,0,32053,457,29,26,37.16,16
1630522012.804,1,0,0,1921,30589,28,26,36.5,16
1630522012.907,0,0,0,32053,457,29,26,37.13,16
1630522012.91,1,0,0,1921,30589,28,26,36.46,16
1630522013.013,0,0,0,32053,457,29,27,37.04,16
1630522013.016,1,0,0,1921,30589,28,26,36.48,16
1630522013.12,0,0,0,32053,457,29,26,37.16,16
1630522013.123,1,0,0,1921,30589,28,26,36.5,16
1630522013.226,0,0,0,32053,457,29,26,37.07,16
1630522013.23,1,0,0,1921,30589,28,26,36.6,16
1630522013.338,0,0,0,32053,457,29,27,37.07,16
1630522013.343,1,0,0,1921,30589,28,26,36.51,16
1630522013.446,0,0,0,32053,457,29,27,37.08,16
1630522013.449,1,0,0,1921,30589,28,26,36.52,16
1630522013.552,0,0,0,32053,457,29,26,37.09,16
1630522013.555,1,0,0,1921,30589,28,26,38.17,16
1630522013.657,0,0,0,32053,457,29,26,37.1,16
1630522013.66,1,1,1,1921,30589,28,26,36.62,16
1630522013.765,0,0,0,32053,457,29,27,37.09,16
1630522013.768,1,0,0,1921,30589,28,26,36.42,16
1630522013.871,0,0,0,32053,457,29,27,36.99,16
1630522013.874,1,0,0,1921,30589,28,26,36.44,16
1630522013.977,0,0,0,32053,457,29,27,37.11,16
1630522013.98,1,1,0,1891,30619,28,26,36.36,16
1630522014.083,0,0,0,32053,457,29,26,37.15,16
1630522014.086,1,4,0,1853,30657,28,26,36.49,16
1630522014.189,0,0,0,32053,457,29,26,37.19,16
1630522014.191,1,4,0,1813,30697,28,26,36.42,16
1630522014.295,0,0,0,32053,457,29,26,36.98,16
1630522014.298,1,26,11,1801,30709,29,28,120.71,16
1630522014.401,0,0,0,32053,457,29,27,37,16
1630522014.405,1,26,11,1801,30709,30,30,114.27,16
1630522014.508,0,0,0,32053,457,29,26,37.16,16
1630522014.511,1,85,43,1801,30709,30,31,59.48,16
1630522014.613,0,0,0,32053,457,29,27,37.03,16
1630522014.616,1,33,17,1801,30709,29,29,41.48,16
1630522014.72,0,0,0,32053,457,29,27,37.04,16
1630522014.725,1,33,17,1801,30709,29,28,41.49,16
1630522014.828,0,0,0,32053,457,29,27,37.06,16
1630522014.832,1,0,0,1801,30709,29,27,49.61,16
1630522014.941,0,0,0,32053,457,29,27,37.1,16
1630522014.946,1,7,2,1801,30709,29,27,41.37,16
1630522015.049,0,0,0,32053,457,29,27,37.09,16
1630522015.052,1,7,2,1801,30709,29,27,41.35,16
1630522015.154,0,0,0,32053,457,29,27,37.1,16
1630522015.157,1,0,0,1801,30709,29,27,41.35,16
1630522015.263,0,0,0,32053,457,29,27,37.19,16
1630522015.267,1,0,0,1801,30709,29,27,41.26,16
1630522015.369,0,0,0,32053,457,29,27,37.11,16
1630522015.372,1,0,0,1801,30709,30,27,130.8,16
1630522015.475,0,0,0,32053,457,29,27,36.93,16
1630522015.478,1,50,24,1801,30709,30,30,134.19,16
1630522015.583,0,0,0,32053,457,29,26,37.06,16
1630522015.587,1,50,24,1801,30709,31,31,142.3,16
1630522015.693,0,0,0,32053,457,29,27,37.07,16
1630522015.696,1,80,38,1801,30709,30,31,55.15,16
1630522015.799,0,0,0,32053,457,29,27,37.1,16
1630522015.801,1,13,5,1801,30709,29,28,42.25,16
1630522015.907,0,0,0,32053,457,29,27,37.1,16
1630522015.91,1,13,5,1801,30709,29,28,42.15,16
1630522016.013,0,0,0,32053,457,29,27,37.19,16
1630522016.016,1,0,0,1801,30709,29,28,42.15,16
1630522016.119,0,0,0,32053,457,29,27,37.19,16
1630522016.122,1,0,0,1801,30709,29,27,42.05,16
1630522016.227,0,0,0,32053,457,29,27,37,16
1630522016.23,1,0,0,1801,30709,30,27,142.67,16
1630522016.333,0,0,0,32053,457,29,27,37.1,16
1630522016.336,1,46,22,1801,30709,31,30,145.69,16
1630522016.439,0,0,0,32053,457,29,27,37.03,16
1630522016.442,1,87,42,1801,30709,32,31,133.73,16
1630522016.548,0,0,0,32053,457,29,27,37.07,16
1630522016.551,1,87,42,1801,30709,30,31,44.16,16
1630522016.654,0,0,0,32053,457,29,27,37.19,16
1630522016.656,1,11,4,1801,30709,30,29,42.23,16
1630522016.759,0,0,0,32053,457,29,27,37.07,16
1630522016.762,1,11,4,1801,30709,30,28,42.22,16
1630522016.869,0,0,0,32053,457,29,27,37.07,16
1630522016.872,1,0,0,1801,30709,29,28,42.12,16
1630522016.974,0,0,0,32053,457,29,27,37.02,16
1630522016.977,1,0,0,1801,30709,29,27,41.97,16
1630522017.08,0,0,0,32053,457,29,27,37.19,16
1630522017.083,1,0,0,1801,30709,30,28,134.87,16
1630522017.189,0,0,0,32053,457,29,27,36.96,16
1630522017.192,1,40,19,1801,30709,31,30,127.97,16
1630522017.295,0,0,0,32053,457,29,27,37.06,16
1630522017.298,1,77,37,1801,30709,31,31,132.7,16
1630522017.401,0,0,0,32053,457,29,27,37.07,16
1630522017.404,1,77,37,1801,30709,31,32,52.36,16
1630522017.507,0,0,0,32053,457,29,27,37.09,16
1630522017.511,1,27,12,1801,30709,30,29,42.32,16
1630522017.614,0,0,0,32053,457,29,27,37.09,16
1630522017.616,1,0,0,1801,30709,30,29,42.32,16
1630522017.719,0,0,0,32053,457,29,27,37.12,16
1630522017.722,1,0,0,1801,30709,29,28,42.35,16
1630522017.825,0,0,0,32053,457,29,27,37.04,16
1630522017.831,1,0,0,1801,30709,29,28,42.26,16
1630522017.934,0,0,0,32053,457,29,27,36.96,16
1630522017.938,1,0,0,1801,30709,30,28,124.96,16
1630522018.041,0,0,0,32053,457,29,27,37.08,16
1630522018.044,1,21,10,1801,30709,31,30,135.13,16
1630522018.147,0,0,0,32053,457,29,27,37.07,16
1630522018.152,1,77,37,1801,30709,32,31,130.02,16
1630522018.255,0,0,0,32053,457,29,27,37.11,16
1630522018.258,1,77,37,1801,30709,31,32,77.03,16
1630522018.361,0,0,0,32053,457,29,27,37.09,16
1630522018.364,1,46,21,1801,30709,30,29,42.42,16
1630522018.469,0,0,0,32053,457,29,27,37.12,16
1630522018.473,1,0,0,1801,30709,30,29,42.27,16
1630522018.576,0,0,0,32053,457,29,27,37.14,16
1630522018.579,1,0,0,1801,30709,30,28,42.27,16
1630522018.682,0,0,0,32053,457,29,27,37.08,16
1630522018.685,1,0,0,1801,30709,30,28,42.22,16
1630522018.788,0,0,0,32053,457,29,27,37.08,16
1630522018.793,1,2,1,1801,30709,30,28,107.95,16
1630522018.896,0,0,0,32053,457,29,27,37.07,16
1630522018.899,1,2,1,1801,30709,31,30,136.51,16
1630522019.002,0,0,0,32053,457,29,27,37.15,16
1630522019.005,1,79,38,1801,30709,32,32,137.59,16
1630522019.108,0,0,0,32053,457,29,27,37.01,16
1630522019.114,1,79,38,1801,30709,31,32,86.77,16
1630522019.217,0,0,0,32053,457,29,27,37.24,16
